Species,n_samples_env,alt_mean,mat_mean,map_mean,seasonality_t_mean,seasonality_p_mean,maxsrad_mean,minvapr_mean,alt_sd,mat_sd,map_sd,seasonality_t_sd,seasonality_p_sd,maxsrad_sd,minvapr_sd
Gymnoascus reessii,337,1377.5400593471811,8.645990568098387,582.0783382789317,829.8582123344614,76.04311817284548,23004.14183976261,0.3958407502610359,1720.418546553424,7.3267273678387586,367.44648573172606,272.3264234053146,36.07541801244172,2750.0418931489476,0.29222747220958756
Gymnopilus arenophilus,1,751,15.9424999634425,579,540.176575979172,62.3057229763177,26652,0.853999996185303,NA,NA,NA,NA,NA,NA,NA
Gymnopilus dilepis,91,441.61538461538464,22.2016979478999,1406.0811355311355,299.79076901155895,67.4114316840816,22644.16153846154,1.46658058766917,501.1894467548788,4.017872800298931,745.1377693279725,172.11008372934495,32.34967574669706,2880.1597138560032,0.6772065530373635
Gymnopilus hybridus,173,256.46820809248555,8.419098326317734,881.5138865951006,722.8995179574988,23.11338298012992,19882.93587943848,0.5182157978673889,373.74471354388805,5.034017817821246,273.1985738493712,222.0779724241931,13.083383424914386,2541.427628085333,0.2592117589773072
Gymnopilus penetrans,173,256.46820809248555,8.419098326317734,881.5138865951006,722.8995179574988,23.11338298012992,19882.93587943848,0.5182157978673889,373.74471354388805,5.034017817821246,273.1985738493712,222.0779724241931,13.083383424914386,2541.427628085333,0.2592117589773072
Gymnopilus picreus,14,391,10.696335028021503,1275.3698979591836,794.3241910308927,52.3700229139332,19755.33469387755,0.445642851399524,523.3958643027577,3.8735459421137843,453.6122507971128,57.37177115025616,19.078134357357172,830.9105556438859,0.09136010876555119
Gymnopus androsaceus,113,566.787610619469,4.077826377187734,798.9416982722296,817.161953666688,34.22059556074888,19485.725245821046,0.3282520731736023,510.1524711041829,3.418206082883045,298.90905995344156,191.58170308881705,17.70614494936574,1266.377391136729,0.1277076330601222
Gymnopus confluens,4,224.5,5.163039424905687,682.0758928571428,953.5966468660425,51.3625100731723,20216.098214285725,0.2699999995529655,296.9898988181248,0.29937295503199574,125.14161907462025,200.66997772323322,34.03392257689204,67.919341011981615,0.10677078304134553
Gymnopus dryophilus,10,355.1,12.502671141581867,858.9282142857143,625.388598550645,50.05396535665152,23296.7875,0.8758428515706747,434.98772651906194,8.385842845209496,640.6089725088714,354.4042590140558,18.38820172580099,2871.049144113937,0.7589491985908509
Gymnopus eneficola,1,129,3.7958333188047,620.125,868.739039700701,32.8474908801728,19860.5,0.302500009536743,NA,NA,NA,NA,NA,NA,NA
Gymnopus lanipes,10,355.1,12.502671141581867,858.9282142857143,625.388598550645,50.05396535665152,23296.7875,0.8758428515706747,434.98772651906194,8.385842845209496,640.6089725088714,354.4042590140558,18.38820172580099,2871.049144113937,0.7589491985908509
Gymnopus luxurians,47,186.9787234042553,16.616527844886328,1104.358865248227,749.086425285195,25.66656183450649,23220.980496453903,0.7339893615943323,184.4825300273481,5.485356175075996,254.57888486948335,200.14719303739002,24.739688051094312,1682.5903473180585,0.30550370928278975
Gymnopus menehune,5,532.6,23.26576386756368,2415.783333333334,131.36540625674849,35.67047109020658,19623.81666666666,2.0633333206176783,599.0603475443855,2.9113696172869576,205.6731208468645,175.81132088611378,17.12717467213872,1996.9455794343153,0.6277508792568367
Gymnopus micromphaleoides,1,39,20.2858335137367,1309.2,552.925119102055,44.0665623968997,23085.6,1.02999997138977,NA,NA,NA,NA,NA,NA,NA
Gymnopus ocior,1,129,3.7958333188047,620.125,868.739039700701,32.8474908801728,19860.5,0.302500009536743,NA,NA,NA,NA,NA,NA,NA
Gymnopus peronatus,12,307.4166666666667,7.110129798804755,544.0497023809523,814.0466327859338,38.45240325801308,20270.234126984134,0.3891111087467935,160.62970309115158,1.562266785462968,26.450401411494028,171.97028454877645,5.966922113128947,597.2508137492609,0.10013700739262413
Gyrodontium sacchari,22,285.22727272727275,23.310505032712463,1914.9439393939401,140.44570682776822,41.69315831268437,21001.796212121208,2.156522721594031,336.4224854919611,4.7256991292277375,621.0178432233104,162.00086303381784,21.157623540605375,3350.5067719269587,0.7500737232563419
Gyromitra infula,7,1566.5714285714287,3.499603179293789,609.5666666666672,778.8551448832698,31.875888669805285,21568.157142857144,0.2579047582688786,635.3122217049024,2.342495163290517,268.05874356193016,57.37796235588727,4.213121172928863,2252.590215705952,0.03125208611238967
Halosarpheia japonica,4,2.5,16.637847278026534,697.2833333333333,415.81949306269127,53.49537427848297,25950.066666666673,1.0110833530624708,1.7320508075688772,4.689620428746869,331.55760518431117,61.95402619379917,38.15724536768013,5567.428460449407,0.22181030627479392
Hamatocanthoscypha laricionis,32,1094.59375,7.05103825403757,974.7092261904762,773.9977732305947,53.13502029635954,22751.018303571433,0.42514806261751825,953.1361429808711,2.9604377044602725,650.2267601755826,186.10864091676632,17.240181708661417,4033.7267596048023,0.17180886912447962
Hamigera avellanea,45,324.6666666666667,23.50555249681006,1707.0314814814815,203.92478428211237,73.53176410607466,22127.311111111114,2.016303676101896,283.6334862907667,5.523071005424889,444.68903813127554,311.4639661373142,23.746936570768028,1929.9922251145313,0.7682860969551097
Hamigera inflata,4,347.75,16.427048609943853,528.3166666666667,643.0215865924035,73.66537044298923,25612.795833333323,0.798166663199664,322.941042090761,1.554604928933183,48.26769681221118,233.10755541971503,14.123456318747863,2262.11853384842,0.33462433149701104
Hamigera paravellanea,23,351.7391304347826,11.244254243102121,851.3347826086956,1059.4887628564004,90.03572241183436,21040.371014492754,0.33219565172558263,396.4461693816593,4.8775636346623035,256.3575997751005,184.97355589900377,25.970320327906258,1739.802465865811,0.20950107021849612
