"text_entry","spec","spore_type","measure_orig","Dim1","Dim2","Dim3","Dim4","Dim5"
"ascospores fusoid, obovoid, subellipsoid, inequilateral (almost flat on one side), early 3-transeptate (4-segmented), at which time initial longisepta are formed, then basically 5-and at maturity 5-6-7-transeptate; forming a single longitudinal septum completely through each of the 2 original central segments, then an oblique one in the apical (rarely basal) segment, a secondary oblique (yielding a Y-formation), and quite frequently a second series of longitudinal septa through the subapical spore segment and, fairly often, in both of the central quarter segments; yellow-brown becoming gold-brown, with slightly darker walls and septa (except for the initial median septum, which often appears fragile and almost hyaline); at full development, 23-25(-30) x 8-9 µm,","Lewia scrophulariae_30346_27594","ascospores","23-25(-30) x 8-9",25,8.5,NA,NA,NA
"Ascospores spherical, 2-3 µm","Nannizziopsis vriesii_181361_11694","Ascospores","2-3",2.5,NA,NA,NA,NA
"Ascospores ellipsoidal, 1-septate, not constricted, inconspicuously echinulate, 13-15 x 5-6.5 µm.","Nectria australiensis_126259_17158","Ascospores","13-15 x 5-6.5",14,5.75,NA,NA,NA
"Ascospores 2-celled, sometimes slightly constricted at septum, ellipsoidal, uneven in outline, 14-21 x 5-9 µm,","Nectria mauritiicola_25948_17152","Ascospores","14-21 x 5-9",17.5,7,NA,NA,NA
"Ascospores ellipsoid to narrowly ovoid, usually with two oil drops, (5.5-)6.5(-7) x 3-3.5(-4) µm;","Ombrophila pura_416203_13267","Ascospores","(5.5-)6.5(-7) x 3-3.5(-4)",6.5,3.5,NA,NA,NA
"Ascospores 1-septate, ellipsoidal to naviculate, minutely to distinctly echinulate, hyaline, white in mass, (7-)8-12 x 3-4 µm,","Sphaerostilbella novae-zelandiae_30699_17163","Ascospores","(7-)8-12 x 3-4",8,3.5,NA,NA,NA
"Ascospores mostly ellipsoid, occasionally broad ellipsoid, yellow-brown at maturity, 20-45 x 18-30 µm","Tuber taiyuanense_126364_52159","Ascospores","20-45 x 18-30",32.5,24,NA,NA,NA
"Ascospores fasciculate, 60-86 x 0.6-0.8 µm,","Coccomyces mucronatus_126528_55040","Ascospores","60-86 x 0.6-0.8",73,0.7,NA,NA,NA
"Ascospores filiform, colourless, helically coiled in the ascus and often straightening at one or both ends, commonly tapering at both ends but more so at the base, sometimes with a truncate apex, with a mucilaginous sheath up to 4 µm","Cochliobolus tuberculatus_126530_16648","Ascospores","4",4,NA,NA,NA,NA
"Ascospores curved, aseptate, hyaline, invested in a sheath, 6-11 x 2-4 µm","Leptographium huntii_115106_12235","Ascospores","6-11 x 2-4",8.5,3,NA,NA,NA
"Ascospores elliptic toovate, hyaline, 20-30 x 10-12 µm.","Microsphaera polygoni_134327_14764","Ascospores","20-30 x 10-12",25,11,NA,NA,NA
"Ascospores distichously arranged in the asci, ellipsoid, rounded at the apices, 1-septate, the lower cell often somewhat smaller, slightly constricted at the septum, brown to dark brown, verruculose, not guttulate, lacking a distinct gelatinous sheath, 22-26 x 8-11 µm.","Microthelia acerina_126693_46881","Ascospores","22-26 x 8-11",24,9.5,NA,NA,NA
