"text_entry","spec","spore_type","measure_orig","Dim1","Dim2","Dim3","Dim4","Dim5"
"Ascospores obliquely uniseriate, smooth, hyaline, at first continuous, elongate-elliptic, fusiform, obtuse or pointed at the extremities, 15-28 x 6-9 µm.","Helotium willkommii_203170_14415","Ascospores","15-28 x 6-9",21.5,7.5,NA,NA,NA
"Ascospores filiform, sometimes coiled spirally at the ascus upper end, 70-110 µm","Hypoderma pinastri_144365_14889","Ascospores","70-110",90,NA,NA,NA,NA
"Ascospores fasciculate, sometimes helically coiled, filiform-cylindrical, apex obtuse, tapered towards the base, 56-77 x 2,5-3,5 µm,","Hypodermella macrospora_416228_15590","Ascospores","56-77 x 2,5-3,5",66.5,3,NA,NA,NA
"Ascospores hyaline, aseptate, smooth, filiform, 75-90 x 3-4 µm,","Hypodermella nervisequia_203153_15579","Ascospores","75-90 x 3-4",82.5,3.5,NA,NA,NA
"Ascospores rod-shaped, 25-40 µm","Hypodermopsis desmazieri_374669_14891","Ascospores","25-40",32.5,NA,NA,NA,NA
"Ascospores hyaline, smooth, aseptate, swollen at both ends and with a central constriction, 40-60 x 4-7 µm","Hypodermopsis linearis_374735_15578","Ascospores","40-60 x 4-7",50,5.5,NA,NA,NA
"Ascospores fasciculate, sometimes helically coiled, filiform-cylindrical, apex obtuse, tapered towards the base, 56-77 x 2,5-3,5 µm,","Hypodermopsis macrospora_416229_15590","Ascospores","56-77 x 2,5-3,5",66.5,3,NA,NA,NA
"Ascospores hyaline, aseptate, smooth, filiform, 75-90 x 3-4 µm,","Hypodermopsis nervisequa_376467_15579","Ascospores","75-90 x 3-4",82.5,3.5,NA,NA,NA
"Ascospores hyaline, aseptate, smooth, guttulate, elongated-clavate to cylindrical, often bent towards the top end, 16-36 x 2,5-4 µm,","Hypodermopsis rubi_374819_15577","Ascospores","16-36 x 2,5-4",26,3.25,NA,NA,NA
"ascospores frequently aborting. Ascospores arranged irregularly, (9·5-)12,5-16 x 5-6,5 µm,","Hypospila rhytismoides_165219_18399","ascospores","(9·5-)12,5-16 x 5-6,5",12.5,5.75,NA,NA,NA
"Ascospores arranged irregularly, (9·5-)12,5-16 x 5-6,5 µm,","Hypospila rhytismoides_165219_18399","Ascospores","(9·5-)12,5-16 x 5-6,5",12.5,5.75,NA,NA,NA
"Ascospores hyaline, unequally two-celled, usually 19-33 x 7-11 µm,","Hyptopteris apiospora_247580_13843","Ascospores","19-33 x 7-11",26,9,NA,NA,NA
"Ascospores hyaline, septate near the base, overlapping biseriate in the ascus, thin-walled, often unequally curved near the base, 19-30 µm","Hyptopteris apiospora_247580_16688","Ascospores","19-30",24.5,NA,NA,NA,NA
"Ascospores borne in a fascicle, sometimes slightly helically coiled, cylindrical, tapering towards the base, 55-70 (-100) x 2-3,5 µm,","Hysterium juniperinum_203149_15593","Ascospores","55-70 (-100) x 2-3,5",70,2.75,NA,NA,NA
"Ascospores one-celled, hyaline, ellipsoidal or ovoidal, 12-17 x 6-7.5 µm.","Laestadia bidwellii_220500_8152","Ascospores","12-17 x 6-7.5",14.5,6.75,NA,NA,NA
"Ascospores hyaline, non-septate, ovoid to ellipsoid, 12-17 x 6-7,5 µm,","Laestadia bidwellii_220500_15492","Ascospores","12-17 x 6-7,5",14.5,6.75,NA,NA,NA
"Ascospores monostichous, elliptical, dark-brown, 1-septate, constricted, 20-28 x 7-10 µm,","Lasiosphaeria coulteri_223601_14298","Ascospores","20-28 x 7-10",24,8.5,NA,NA,NA
"Ascospores arranged usually obliquely uniseriately, 15,5-19 x 8,5-11 µm","Leptosphaeria astragali_203157_18571","Ascospores","15,5-19 x 8,5-11",17.25,9.75,NA,NA,NA
"Ascospores hyaline, elliptical, often remaining 1-septate but occasionally becoming 3-septate, 14-18 x 4,5-6 µm.Cultures","Lisea fujikuroi_203158_13794","Ascospores","14-18 x 4,5-6",16,5.25,NA,NA,NA
"Ascospores filiform, sometimes coiled spirally at the ascus upper end, 70-110 µm","Lophodermellina pinastri_144366_14889","Ascospores","70-110",90,NA,NA,NA,NA
"Ascospores hyaline, smooth, aseptate, swollen at both ends and with a central constriction, 40-60 x 4-7 µm","Lophodermium lineare_154347_15578","Ascospores","40-60 x 4-7",50,5.5,NA,NA,NA
"Ascospores hyaline, aseptate, smooth, filiform, 75-90 x 3-4 µm,","Lophodermium nervisequium_123737_15579","Ascospores","75-90 x 3-4",82.5,3.5,NA,NA,NA
"Ascospores clavate, tapering towards the base, hyaline, 60-130 µmlong,","Lophodermium pinastri var. amplum_203162_14866","Ascospores","60-130",95,NA,NA,NA,NA
"Ascospores hyaline, aseptate, smooth, guttulate, elongated-clavate to cylindrical, often bent towards the top end, 16-36 x 2,5-4 µm,","Lophodermium rubi_153562_15577","Ascospores","16-36 x 2,5-4",26,3.25,NA,NA,NA
"Ascospores pale green, becoming olivaceous, clavate, 13-18 x 4.5-7.5 µm,","Otthia morbosa_237572_13262","Ascospores","13-18 x 4.5-7.5",15.5,6,NA,NA,NA
"Ascospores clavate, apex obtuse, taperedtowards the base, 1-septate near the base, smooth-walled, olivaceous, 14-18 µm","Otthia morbosa_237572_14050","Ascospores","14-18",16,NA,NA,NA,NA
"Ascospores obliquely uniseriate, smooth, hyaline, at first continuous, elongate-elliptic, fusiform, obtuse or pointed at the extremities, 15-28 x 6-9 µm.","Peziza willkommii_203171_14415","Ascospores","15-28 x 6-9",21.5,7.5,NA,NA,NA
"ascospores lying more-or-1ess parallel with the long axis of the ascus, sometimes helically curved towards the top. Ascospores: colourless, thin-walled, smooth, filiform, almost straight, aseptate, 40-50 x 1-2 µm,","Phacidium pini f. juniperi_203174_18575","ascospores","40-50 x 1-2",45,1.5,NA,NA,NA
"Ascospores biseriate in the ascus, hyaline, elliptic-cylindric or slightly clavate, 1-septate rather below themiddle, slightly constricted at the septum, 16-26 x 4,5-7 µm.","Phragmodothella ribesia_387814_15487","Ascospores","16-26 x 4,5-7",21,5.75,NA,NA,NA
"ascospores are ready for discharge. Apical structures difficult to distinguish, the inner surface of the wall sometimes slightly invaginated and the outer surface sometimes slightly flattened at the apex; 8-spored. Ascospores arranged biseriately to fasciculately, 14,5-18 x 5,5-7 µm,","Phyllachora osbeckiae_144838_16835","ascospores","14,5-18 x 5,5-7",16.25,6.25,NA,NA,NA
"Ascospores arranged biseriately to fasciculately, 14,5-18 x 5,5-7 µm,","Phyllachora osbeckiae_144838_16835","Ascospores","14,5-18 x 5,5-7",16.25,6.25,NA,NA,NA
"Ascospores arranged usually obliquely uniseriately, 15,5-19 x 8,5-11 µm","Physalosporina astragali_203130_18571","Ascospores","15,5-19 x 8,5-11",17.25,9.75,NA,NA,NA
"ascospores lying more-or-1ess parallel with the long axis of the ascus, sometimes helically curved towards the top. Ascospores: colourless, thin-walled, smooth, aseptate, filiform, almost straight, 35-55 x 1-2 µm,","Pragmoparopsis ledi_152413_18576","ascospores","35-55 x 1-2",45,1.5,NA,NA,NA
"Ascospores filiform, hyaline, 2-septate, smooth, 75-120 µm","Propolis nivea_141864_15446","Ascospores","75-120",97.5,NA,NA,NA,NA
"Ascospores hyaline, smooth, aseptate, swollen at both ends and with a central constriction, 40-60 x 4-7 µm","Rhytisma lineare_203179_15578","Ascospores","40-60 x 4-7",50,5.5,NA,NA,NA
"Ascospores biseriate, hyaline, ellipsoid, 1-septate, constricted at the septum, guttulate, 9-11 x 2,5-3,5 µm,","Sphaeria phaseolorum_203186_14307","Ascospores","9-11 x 2,5-3,5",10,3,NA,NA,NA
"ascospores greenish, ellipsoid, apex rounded or with a short projecting point, base rounded, smooth, single septate with lower cell often twice the length of the upper cell, usually constricted at the septum, uniseriate to overlapping biseriate, 10-15 x 4-7 µm.","Spilosticta inaequalis_225085_13018","ascospores","10-15 x 4-7",12.5,5.5,NA,NA,NA
"Ascospores monostichous or distichous, olivaceous brown, septate in the upper third, with upper ends tapering and lower ends rounded, 12-15 x 6-8 µm.","Spilosticta inaequalis_225085_14365","Ascospores","12-15 x 6-8",13.5,7,NA,NA,NA
"Ascospores pale green when young, greenish-yellow to olivaceous brown, obovoid, 14.5-18 x 5-7 µm,","Stigmatea rumicis_414440_13428","Ascospores","14.5-18 x 5-7",16.25,6,NA,NA,NA
"Ascospores distichous, greenish-yellow to olivaceous brown, septate below the middle,smooth, with an upper broader cell and a longer tapering narrow cell, straight to inequilateral, 12-18 x 4-8 µm.","Stigmatea rumicis_414440_14369","Ascospores","12-18 x 4-8",15,6,NA,NA,NA
"Ascospores biseriate in the ascus, hyaline, elliptic-cylindric or slightly clavate, 1-septate rather below themiddle, slightly constricted at the septum, 16-26 x 4,5-7 µm.","Stromatosphaeria ribesia_415281_15487","Ascospores","16-26 x 4,5-7",21,5.75,NA,NA,NA
"Ascospores obliquely uniseriate, smooth, hyaline, at first continuous, elongate-elliptic, fusiform, obtuse or pointed at the extremities, 15-28 x 6-9 µm.","Trichoscypha willkommii_376468_14415","Ascospores","15-28 x 6-9",21.5,7.5,NA,NA,NA
"Ascospores uniseriate, inequilaterally ellipsoid, brown to dark brown with a longitudinal furrow which may be indistinct, 10-17 x 5-8 µm.","Nemania serpens var. serpens_215120_14330","Ascospores","10-17 x 5-8",13.5,6.5,NA,NA,NA
"Ascospores broadly lenticular, variable in size, 2.5-4.8 x 2.0-4.0 µm,","Eupenicillium javanicum var. javanicum_9870_16360","Ascospores","2.5-4.8 x 2.0-4.0",3.65,3,NA,NA,NA
"ascospores to 1 µm","Eupenicillium javanicum var. javanicum_9870_16360","ascospores","1",1,NA,NA,NA,NA
"Ascospores subreniform, 14-7 x 10-12 µm.","Podosphaera clandestina var. clandestina_203202_14445","Ascospores","14-7 x 10-12",10.5,11,NA,NA,NA
"ascospores biseriate with overlapping ends. Ascospores ellipsoidal to subfusiform, (13.7-)15.2-17.7(-19.7)-(6.0-)6.5-8.0(-9.0) µm,","Nectria haematococca var. haematococca_368398_47994","ascospores","(13.7-)15.2-17.7(-19.7)-(6.0-)6.5-8.0(-9.0)",12.85,NA,NA,NA,NA
"Ascospores ellipsoidal to subfusiform, (13.7-)15.2-17.7(-19.7)-(6.0-)6.5-8.0(-9.0) µm,","Nectria haematococca var. haematococca_368398_47994","Ascospores","(13.7-)15.2-17.7(-19.7)-(6.0-)6.5-8.0(-9.0)",12.85,NA,NA,NA,NA
"ascospores hyaline, simple, ellipsoid, 28-32(-35) x 14-17(-19) µm,","Amygdalaria consentiens var. consentiens_487832_68820","ascospores","28-32(-35) x 14-17(-19)",32,17,NA,NA,NA
"ascospores yellow in mass, oblate with two equatorial rims, punctate, 4-4.5 x 3-3.5 µm;","Chlamydosauromyces punctatus_413316_68351","ascospores","4-4.5 x 3-3.5",4.25,3.25,NA,NA,NA
"Ascospores uniseriate, obliquely oriented in semi-mature asci and more periclinally oriented in mature asci, 1-septate, brown, ellipsoidal, smooth (11.5)13.0-15.5(17) x (4.5)5-5.5(6) µm","Chaenothecopsis nigripunctata_413321_17444","Ascospores","(11.5)13.0-15.5(17) x (4.5)5-5.5(6)",14.25,5.25,NA,NA,NA
"Ascospores unicellular, lenticular, subhyaline to reddish-brown, with a prominent equatorial crest and polar thickenings and with a tuberculate-granulose wall, 6-7 x 4-5 µm.","Castanedomyces australiensis_413337_68387","Ascospores","6-7 x 4-5",6.5,4.5,NA,NA,NA
"Ascospores 8, ellipsoid to nearb spherical 17-22 x 12-20 µm.","Sphaerotheca fuliginea var. fuliginea_368433_13984","Ascospores","17-22 x 12-20",19.5,16,NA,NA,NA
"ascospores early developed, large, broadly ellipsoid, oblong or ovoid, ca 18-27x 11-18.5 µm,l/","Sphaerotheca fuliginea var. fuliginea_368433_28332","ascospores","18-27x 11-18.5",22.5,14.75,NA,NA,NA
"ascospores irregularly 1-seriate, 12-13 x 5-6 µm,","Nectria peziza var. peziza_368478_23274","ascospores","12-13 x 5-6",12.5,5.5,NA,NA,NA
"ascospores ellipsoid, 1-septate, maturitate with longitdinal striations on the outer spore wall, 12-15 x 5-7 µm;","Nectria peziza var. peziza_368478_23274","ascospores","12-15 x 5-7",13.5,6,NA,NA,NA
"Ascospores yellow, in strains producing abundant red pigment, e.g. CBS 261-55, becoming reddish in age, more or less broadly ellipsoidal, 3.5-5 x 2.5-3.2 µm,","Talaromyces flavus var. flavus_26782_7960","Ascospores","3.5-5 x 2.5-3.2",4.25,2.85,NA,NA,NA
"Ascospores irregularly biseriate, hyaline, nonseptate, granular, becoming light brown with age, (25-)26-33(-37) x (9-)10-12(-13) µm,","Botryosphaeria protearum_410584_17528","Ascospores","(25-)26-33(-37) x (9-)10-12(-13)",29.5,11,NA,NA,NA
"ascospores symmetric lemon-shaped on broader face view, elliptical on narrower side view, somewhat flattened on one side, mostly 17.5-20.0 x 10.0-12.0 x 7.5-9.0 µm,","Microthecium retisporum var. retisporum_15495_23269","ascospores","17.5-20.0 x 10.0-12.0 x 7.5-9.0",18.75,11,8.25,NA,NA
"Ascospores ellipsoidal, 2.5-3 x 1.5-2 µm,","Talaromyces helicus var. helicus_26806_7963","Ascospores","2.5-3 x 1.5-2",2.75,1.75,NA,NA,NA
"Ascospores ellipsoid to narrowly ovoid, usually with two oil drops, (5.5-)6.5(-7) x 3-3.5(-4) µm;","Neobulgaria pura var. pura_123209_13267","Ascospores","(5.5-)6.5(-7) x 3-3.5(-4)",6.5,3.5,NA,NA,NA
"Ascospores filiform, multiseptate, breaking into 1-celled fragments, 2-4,5 x 1-1,5 µm.","Corynesphaera militaris_414202_14949","Ascospores","2-4,5 x 1-1,5",3.25,1.25,NA,NA,NA
"ascospores maturing. ascospores broadly ellipsoid, dark brown, I-septate in the middle and constricted at the septum, 25-40 x 13-20 µm,","Caldesia sabina_375073_12948","ascospores","25-40 x 13-20",32.5,16.5,NA,NA,NA
"ascospores broadly ellipsoid, dark brown, I-septate in the middle and constricted at the septum, 25-40 x 13-20 µm,","Caldesia sabina_375073_12948","ascospores","25-40 x 13-20",32.5,16.5,NA,NA,NA
"Ascospores broadly ellipsoid, dark brown, septate in the middle, constricted at the septum, thick-walled, 25-40 x 13-20 µm,","Caldesia sabina_375073_26528","Ascospores","25-40 x 13-20",32.5,16.5,NA,NA,NA
"ascospores 19-22 x 10-12 µm.","Fimetaria fimicola_314952_23362","ascospores","19-22 x 10-12",20.5,11,NA,NA,NA
"ascospores 19-23 x 11.0-12.5 µm,","Fimetaria fimicola_314952_23362","ascospores","19-23 x 11.0-12.5",21,11.75,NA,NA,NA
"Ascospores 19-27 x 11-15 µm","Fimetaria fimicola_314952_23362","Ascospores","19-27 x 11-15",23,13,NA,NA,NA
"ascospores 17-20 x 10-12 µm.","Fimetaria fimicola_314952_23362","ascospores","17-20 x 10-12",18.5,11,NA,NA,NA
"Ascospores 19-22 x 10-15 µm,","Fimetaria fimicola_314952_23362","Ascospores","19-22 x 10-15",20.5,12.5,NA,NA,NA
"ascospores 19-20 x 12-13 µm;","Fimetaria fimicola_314952_23362","ascospores","19-20 x 12-13",19.5,12.5,NA,NA,NA
"Ascospores dark brown, (17-) 18-24 x (9.5-) 10-13 µm,","Fimetaria fimicola_314952_23362","Ascospores","(17-) 18-24 x (9.5-) 10-13",18,10,NA,NA,NA
"ascospores 17.5-23.5(-25) x 10-13.5 µm.","Fimetaria fimicola_314952_23362","ascospores","17.5-23.5(-25) x 10-13.5",23.5,11.75,NA,NA,NA
"Ascospores uniseriate, inequilaterally ellipsoid, brown to dark brown with a longitudinal furrow which may be indistinct, 10-17 x 5-8 µm.","Gamosphaera serpens_344499_14330","Ascospores","10-17 x 5-8",13.5,6.5,NA,NA,NA
"ascospores irregularly 1-seriate, 12-13 x 5-6 µm,","Hydropisphaera peziza_52470_23274","ascospores","12-13 x 5-6",12.5,5.5,NA,NA,NA
"ascospores ellipsoid, 1-septate, maturitate with longitdinal striations on the outer spore wall, 12-15 x 5-7 µm;","Hydropisphaera peziza_52470_23274","ascospores","12-15 x 5-7",13.5,6,NA,NA,NA
"Ascospores filling the upper 2/3 to 3/4 of the ascus, filiform-clavate, non-septate, apex obtusely rounded, tapering to a narrowly rounded base, surrounded by a thick gelatinous sheath, (52.8-)59.7-65.7(-67.2) x (1.4-)1.7-2.4 µm","Lophodermina melaleuca_164224_13443","Ascospores","(52.8-)59.7-65.7(-67.2) x (1.4-)1.7-2.4",62.7,1.7,NA,NA,NA
"Ascospores cylindrical, ends rounded, 35-55(-60.5) x 3-6 µm","Lasiella ovina_353574_18128","Ascospores","35-55(-60.5) x 3-6",55,4.5,NA,NA,NA
"Ascospores borne in a fascicle, sometimes helically arranged, cylindrical, tapering towards the base, 60-80 x 1,5-2,5 µm,","Melanosorus acerinus_151254_15587","Ascospores","60-80 x 1,5-2,5",70,2,NA,NA,NA
"Ascospores uniseriate, black, strongly inequilateral so as to appear citriform, (17.5-) 20-24 x 15-17.5 µm,","Stromne goetzei_390180_42379","Ascospores","(17.5-) 20-24 x 15-17.5",20,16.25,NA,NA,NA
"ascospores (2-)3-5(-6), ellipsoid-ovoid (-subglobose), (15-)18-26x 10-16 µm.","Trichocladia astragali_414328_29193","ascospores",")(15-)18-26x 10-16",18,13,NA,NA,NA
"Ascospores filiform, multiseptate, breaking into 1-celled fragments, 2-4,5 x 1-1,5 µm.","Xylaria militaris_73001_14949","Ascospores","2-4,5 x 1-1,5",3.25,1.25,NA,NA,NA
"Ascospores monostichous, non-septate, dark brown. fusoid with one side flattened, 20-32 x 5-12 µm,","Xylosphaera polymorpha_29350_14327","Ascospores","20-32 x 5-12",26,8.5,NA,NA,NA
"ascospores reniform or long elliptical, straight or slightly curved to one side, one or both ends pointed, 2.8-4.8 x 0.8-2.3 µm","Ophiostoma piceae_3975_23178","ascospores","2.8-4.8 x 0.8-2.3",3.8,1.55,NA,NA,NA
"Ascospores hyaline, one-celled, lunate or orange section shaped in side view, broaedly ellipitcal in face view, nearly globose in end view, (2-) 2.5-4.5 (-5) x 1.5-2 µm.","Ophiostoma piceae_3975_23178","Ascospores","(2-) 2.5-4.5 (-5) x 1.5-2",3.5,1.75,NA,NA,NA
"Ascospores (11.5-)14-19(-26)-1.8-2.3 µm,","Pyrenopeziza lychnidis_122746_42961","Ascospores","(11.5-)14-19(-26)-1.8-2.3",22.5,NA,NA,NA,NA
"Ascospores tear-shaped, 7.5-13 x 1-1.3 µm.","Hyalinia auricolor_221637_16127","Ascospores","7.5-13 x 1-1.3",10.25,1.15,NA,NA,NA
"Ascospores aggregated in the upper third of the ascus, hyaline, guttulate, fusoid with rounded ends, slightly curved, sigmoid, (1-)3(-5)-septate, not or slightly constricted at the septum, (50-)65-85(-100)-(4-)5-6(-7) µm","Calonectria reteaudii_168260_9400","Ascospores","(50-)65-85(-100)-(4-)5-6(-7)",52,NA,NA,NA,NA
"ascospores ellipsoid, 19-24 x 11-16 µm,","Pleurage setosa_35974_23284","ascospores","19-24 x 11-16",21.5,13.5,NA,NA,NA
"Ascospores dark brown, ovate, 16-19 x 11-13 µm,","Pleurage setosa_35974_23284","Ascospores","16-19 x 11-13",17.5,12,NA,NA,NA
"Ascospores olivaceous to brown, 18-21.5 x 11-13 µm,","Pleurage setosa_35974_23284","Ascospores","18-21.5 x 11-13",19.75,12,NA,NA,NA
"Ascospores white in mass, broadly ellipsoid, hyaline, 14-16x8-10 µm","Aleuria varia_241474_13405","Ascospores","14-16x8-10",15,9,NA,NA,NA
"Ascospores clavate to pip-shaped, L/W 2.0, straight, 9-10(12) x 4-5(6) µm,","Cryptodidymosphaeria conoidea_239045_13717","Ascospores","9-10(12) x 4-5(6)",10,5,NA,NA,NA
"Ascospores ellipsoid, medium brown, 9-12(-14) x 4-6 µm,","Cryptodidymosphaeria conoidea_239045_15943","Ascospores","9-12(-14) x 4-6",12,5,NA,NA,NA
"Ascospores narrowly ovoid, some almost cylindrical or narrowly ellipsoid, the apices broadly rounded, (17-)18-21.4(-23) x (6.5-)7-8.5(-9.5) µm;","Physomitra infula_167326_13142","Ascospores","(17-)18-21.4(-23) x (6.5-)7-8.5(-9.5)",19.7,7.75,NA,NA,NA
"ascospores irregularly 1-seriate, 12-13 x 5-6 µm,","Dialonectria peziza_245424_23274","ascospores","12-13 x 5-6",12.5,5.5,NA,NA,NA
"ascospores ellipsoid, 1-septate, maturitate with longitdinal striations on the outer spore wall, 12-15 x 5-7 µm;","Dialonectria peziza_245424_23274","ascospores","12-15 x 5-7",13.5,6,NA,NA,NA
"Ascospores (11.5-)14-19(-26)-1.8-2.3 µm,","Pseudopeziza sphaeroides var. lychnidis_394947_42961","Ascospores","(11.5-)14-19(-26)-1.8-2.3",22.5,NA,NA,NA,NA
"Ascospores arranged in a bundle but helical coiling not observed, 55-80 x 0,5-1,5 µm,","Colpoma nigrum_145714_16073","Ascospores","55-80 x 0,5-1,5",67.5,1,NA,NA,NA
"Ascospores hyaline, aseptate, smooth, guttulate, elongated-clavate to cylindrical, often bent towards the top end, 16-36 x 2,5-4 µm,","Hypoderma commune f. rubi_153563_15577","Ascospores","16-36 x 2,5-4",26,3.25,NA,NA,NA
"Ascospores borne in a fascicle, sometimes slightly helically coiled, cylindrical, tapering towards the base, 55-70 (-100) x 2-3,5 µm,","Hypoderma juniperinum_203150_15593","Ascospores","55-70 (-100) x 2-3,5",70,2.75,NA,NA,NA
"Ascospores filiform-clavate, 8 per ascus in an overlapping fascicle, filling the ascus, apex obtusely rounded, tapering to an acute base, (36-)43-56(-64.8) x 1.1-1.4 µm,","Hypoderma maculare_142379_13444","Ascospores","(36-)43-56(-64.8) x 1.1-1.4",49.5,1.25,NA,NA,NA
"Ascospores filling the upper 2/3 to 3/4 of the ascus, filiform-clavate, non-septate, apex obtusely rounded, tapering to a narrowly rounded base, surrounded by a thick gelatinous sheath, (52.8-)59.7-65.7(-67.2) x (1.4-)1.7-2.4 µm","Hypoderma melaleucum_164225_13443","Ascospores","(52.8-)59.7-65.7(-67.2) x (1.4-)1.7-2.4",62.7,1.7,NA,NA,NA
"Ascospores hyaline, aseptate, smooth, filiform, 75-90 x 3-4 µm,","Lophoderma nervisequum_203154_15579","Ascospores","75-90 x 3-4",82.5,3.5,NA,NA,NA
"Ascospores hyaline, aseptate, smooth, guttulate, elongated-clavate to cylindrical, often bent towards the top end, 16-36 x 2,5-4 µm,","Lophoderma rubi_153564_15577","Ascospores","16-36 x 2,5-4",26,3.25,NA,NA,NA
"Ascospores parallelly grouped into two or more fascicles of 2 to 6, arranged lengthwise in the sac, 4-32 per sac, 25-37 x 2-5 µm,","Eremothecium gossypii_52849_14010","Ascospores","25-37 x 2-5",31,3.5,NA,NA,NA
"Ascospores ellipsoid, hyaline, irregularly 1-septate, 7.5-10 (-13)-2-2.5 µm","Microphiale lutea f. theae_400620_53397","Ascospores","7.5-10 (-13)-2-2.5",13,NA,NA,NA,NA
"Ascospores up to 4 in asci, 1-celled, colourless, globose to ellipsoid, 9-40-5-20 µm.","Lecanora esculenta var. aspera_404404_39859","Ascospores","9-40-5-20",22.5,NA,NA,NA,NA
"ascospores of (9-)22-26(-40)-(5-)21-25 µm","Lecanora esculenta var. aspera_404404_42846","ascospores","(9-)22-26(-40)-(5-)21-25",40,NA,NA,NA,NA
"Ascospores (47-)50-59 x 9-11(-12) µm","Massarina ingoldiana_203936_34870","Ascospores","(47-)50-59 x 9-11(-12)",50,11,NA,NA,NA
"Ascospores pale yellow to pale brown, ovoidal to ellipsoidal, 7-8 x 4.5-6.0 µm,","Coonemeria crustacea_415382_11809","Ascospores","7-8 x 4.5-6.0",7.5,5.25,NA,NA,NA
"Ascospores hyaline or pale, distichous, 3-septate, 4-guttulate, straight or slightly curved, ellipsoid-fusiform, 18-20  x 5-5.5 µm.","Oletheriostrigula papulosa_142948_62900","Ascospores","18-20 x 5-5.5",19,5.25,NA,NA,NA
"ascospores oblongcylindrical, 7-celled, 41-44 x 7-9 µm,","Preussia vexans_155003_23368","ascospores","41-44 x 7-9",42.5,8,NA,NA,NA
"Ascospores 7-celled, 45-55 x 8-9 µm,","Preussia vexans_155003_23368","Ascospores","45-55 x 8-9",50,8.5,NA,NA,NA
"Ascospores aggregated in the upper third of the ascus, hyaline, guttulate, broadly to narrowly ellipsoidal with rounded ends, straight to slightly curved, 1(-3)-septate, not or slightly constricted at the septa, (8-)12-20(-25)-4-5(-6) µm","Nectria serpens_204325_9541","Ascospores","(8-)12-20(-25)-4-5(-6)",25,NA,NA,NA,NA
"Ascospores multiseriate, overlapping, colorless, guttulate, thin-walled, straight, fusoid-ellipsoidal with obtuse ends, widest in middle of apical cells, medianly 1-septate, not constricted at septum, tapering toward both ends, but with slightly more so toward base (7-)8-10 x (1.5-)2-2.5 µm.","Mycosphaerella irregulariramosa_204451_9567","Ascospores","(7-)8-10 x (1.5-)2-2.5",8,2,NA,NA,NA
"Ascospores multiseriate, overlapping, colorless, guttulate, thin-walled, straight to slightly curved, fusoid-ellipsoidal with obtuse ends, widest in middle of apical cells, medianly 1-septate, not constricted at septum, tapering toward both ends, but slightly so toward base, (7.5-)8-10(-11) x  (2-)2.5-3 µm.","Mycosphaerella heimioides_204452_9566","Ascospores","(7.5-)8-10(-11) x (2-)2.5-3",9,2.5,NA,NA,NA
"ascospores completely filling each ascus or up to 20 µm","Valsonectria lasiacidis_140892_18841","ascospores","20",20,NA,NA,NA,NA
"Ascospores narrowly ellipsoidal to fusiform, (13.5-)15-17.5 (-19.8) x 2.5-3.5(-4.5) µm,","Valsonectria lasiacidis_140892_18841","Ascospores","(13.5-)15-17.5 (-19.8) x 2.5-3.5(-4.5)",16.25,3.5,NA,NA,NA
"Ascospores aggregated in the upper third of the ascus, hyaline, guttulate, fusoid with rounded ends, slightly curved, 1-septate, slightly constricted at the septum, (28-)33-40(-45)-(5-)6-7(-7.5) µm","Calonectria gracilipes_204566_9331","Ascospores","(28-)33-40(-45)-(5-)6-7(-7.5)",25,NA,NA,NA,NA
"Ascospores aggregated in the upper third of the ascus, hyaline, guttulate, fusoid with rounded ends, mostly slightly curved, 1(-3)-septate, becoming slightly constricted at septa when 3-septate, (20-)40-48(-52)-(3-)5-6(-6.5) µm","Calonectria naviculata_204568_9393","Ascospores","(20-)40-48(-52)-(3-)5-6(-6.5)",27.5,NA,NA,NA,NA
"Ascospores reniform, aseptate, hyaline, invested in a sheath, 3-5 x 1-2 µm.","Ophiostoma americanum_204594_12216","Ascospores","3-5 x 1-2",4,1.5,NA,NA,NA
"ascospores hyaline, I-, 8 per ascus, ?short, oblong ellipsoid to fusiform, 20-25(-28) x 8-9(-11) µm,","Graphis saxorum_204614_32131","ascospores","20-25(-28) x 8-9(-11)",25,9,NA,NA,NA
"Ascospores aggregated in the upper third of the ascus, hyaline, guttulate, fusoid with rounded ends, straight to sinuous, 3-6(-9)-septate, not constricted at the septa, (60-) 80-110(-140)-6-7 µm","Calonectria rumohrae_53565_9401","Ascospores","(60-) 80-110(-140)-6-7",125,NA,NA,NA,NA
"Ascospores (sub)hyaline, ellipsoidal, usually with two droplets, 5.5-7.0 x 3.0-4.5 µm,","Dipodascus ingens_42678_17181","Ascospores","5.5-7.0 x 3.0-4.5",6.25,3.75,NA,NA,NA
"Ascospores biseriate, overlapping, colorless, guttulate, thin-walled, straight to slightly curved, fusoid-ellipsoidal with obtuse ends, widest in middle of apical cell, medianly 1-septate, not or slightly constricted at septum, tapering toward both ends, but with more prominent taper toward base (9-)10-12(-13) x 2.5(-3) µm.","Mycosphaerella gregaria_58509_9564","Ascospores","(9-)10-12(-13) x 2.5(-3)",11,2.75,NA,NA,NA
"Ascospores were smaller in the present study (9.5-11x 2-2.5 µm)","Mycosphaerella gregaria_58509_61482","Ascospores","(9.5-11x 2-2.5",10.25,2.25,NA,NA,NA
