"good.names","Synonyms","Family","Order","dim1.min2","dim1.min","dim1.max","dim1.max2","dim2.min2","dim2.min","dim2.max","dim2.max2","shape","EquatorialAxis","PolarAxis","EquatorialAxis_2","PolarAxis_2","SporeVolume","SporeVolume_2","Dimension_units","Volume_units","Phylum","SporeArea","spore_type"
"Ambispora_jimgerdemannii","Acaulospora_gerdemannii Appendicispora_jimgerdemannii","Ambisporaceae","Archaeosporales",200,200,250,250,200,200,250,250,"globose to subglobose",225,225,225,225,5964117.30329937,5964117.30329937,"Micrometers","Cubic micrometers","Glomeromycota",39760.7820219958,"Azygospores"
"Ambispora_leptoticha","Glomus_leptotichum Appendicispora_leptoticha Archaeospora_leptoticha Pseudoglomus_leptotichum","Ambisporaceae","Archaeosporales",60,60,250,250,60,60,250,250,"globose to subglobose",155,155,155,155,1949816.39048112,1949816.39048112,"Micrometers","Cubic micrometers","Glomeromycota",18869.1908756237,"Azygospores"
"Ambispora_leptoticha","Glomus_leptotichum Appendicispora_leptoticha Archaeospora_leptoticha Pseudoglomus_leptotichum","Ambisporaceae","Archaeosporales",160,181,181,200,160,181,181,200,"globose to subglobose",181,181,180,180,3104805.12721503,3053628.05928928,"Micrometers","Cubic micrometers","Glomeromycota",25730.4292310638,"Azygospores"
"Ambispora_reticulata",NA,"Ambisporaceae","Archaeosporales",87,87,131,131,125,125,150,150,"globose to oval",109,137.5,109,137.5,855370.594771466,855370.594771466,"Micrometers","Cubic micrometers","Glomeromycota",11771.1549739193,"Azygospores"
"Archaeospora_schenckii","Entrophospora_schenckii Intraspora_schenckii","Archaeosporaceae","Archaeosporales",37,50,60,77,37,50,60,77,"globose to subglobose",55,55,57,57,87113.746290167,96966.8280493757,"Micrometers","Cubic micrometers","Glomeromycota",2375.82944427728,"Azygospores"
"Archaeospora_trappei","Acaulospora_trappei","Archaeosporaceae","Archaeosporales",40,58,58,80,40,58,58,80,"globose to subglobose",58,58,60,60,102160.404304535,113097.335529233,"Micrometers","Cubic micrometers","Glomeromycota",2642.07942166902,"Azygospores"
"Bulbospora_minima",NA,"","",62,62,95,95,58,58,87,87,"ovoid to subglobose",72.5,78.5,72.5,78.5,216045.036042727,216045.036042727,"Micrometers","Cubic micrometers","Glomeromycota",4469.89729743573,"Azygospores"
"Cetraspora_auronigra",NA,"","",235,235,348,348,237,237,365,365,NA,291.5,301,291.5,301,13391901.1840096,13391901.1840096,"Micrometers","Cubic micrometers","Glomeromycota",68912.0129537372,"Azygospores"
"Cetraspora_helvetica",NA,"","",210,210,270,270,210,210,270,270,"globose to subglobose",240,240,240,240,7238229.47387088,7238229.47387088,"Micrometers","Cubic micrometers","Glomeromycota",45238.934211693,"Azygospores"
"Claroideoglomus_candidum","Glomus_candidum","Claroideoglomeraceae","Glomerales",87,125,125,157,87,125,125,157,"globose to subglobose",125,125,122,122,1022653.85859043,950775.78947262,"Micrometers","Cubic micrometers","Glomeromycota",12271.8463030851,"Azygospores"
"Claroideoglomus_claroideum","Glomus_claroideum Glomus_maculosum Glomus_fistulosum","Claroideoglomeraceae","Glomerales",59,70,199,199,51,70,226,243,"globose to subglobose",134.5,148,129,147,1401860.84703953,1280841.4620355,"Micrometers","Cubic micrometers","Glomeromycota",15634.1358405896,"Azygospores"
"Claroideoglomus_drummondii","Glomus_drummondii Albahypha_drummondii","Claroideoglomeraceae","Glomerales",58,71,71,85,58,71,71,85,"globose to subglobose",71,71,71.5,71.5,187401.761373163,191388.900599497,"Micrometers","Cubic micrometers","Glomeromycota",3959.19214168654,"Azygospores"
"Claroideoglomus_etunicatum","Glomus_etunicatum","Claroideoglomeraceae","Glomerales",68,68,144,162,68,68,144,162,"globose to subglobose",106,106,115,115,623614.519317984,796328.287838063,"Micrometers","Cubic micrometers","Glomeromycota",8824.73376393373,"Azygospores"
