names_to_use,simpleFunct,taxon,disease,simpleFunct,citationSource,,,,notes,,,
Microdochium panattonianum,Plant Pathogen undefined,Marssonina panattoniana,anthracnose,Plant necrotroph,https://www.apsnet.org/edcenter/resources/commonnames/Pages/Lettuce.aspx,,,,,,,
Microdochium panattonianum,Plant Pathogen undefined,Marssonia panattoniana,anthracnose,Plant necrotroph,NA,,,,,,,
Microdochium panattonianum,Plant Pathogen undefined,Microdochium panattonianum,anthracnose,Plant necrotroph,NA,,,,,,,
Monascus ruber,Plant Pathogen undefined,Monascus ruber,rots post_harvest_disease,NA,"Bhadwal, J. Y. O. T. I., & Sharma, Y. P. (2011). Unrecorded post harvest fungal rots of fresh apricots from India. Proceedings of the National Academy of Sciences, India, Section B, 88, 288-290.",,,,,,,
Nectria australiensis,Plant Pathogen undefined,Nectria australiensis,saprotroph,Saprotroph,"Hirooka Y, et al. 2012. Studies in Mycology 71:1-210",,,,On bark of Hoheria populnea (Malvaceae). The paper is about saprotrophic nectria.,,,
Nectria berberidicola,Plant Pathogen undefined,Nectria berberidicola,saprotroph,Saprotroph,"Hirooka Y, et al. 2012. Studies in Mycology 71:1-210",,,,On Berberis vulgaris (Berberidaceae),,,
Nectria canadensis,Plant Pathogen undefined,Nectria canadensis,saprotroph,Saprotroph,"Hirooka Y, et al. 2012. Studies in Mycology 71:1-210",,,,,,,
Nectria canadensis,Plant Pathogen undefined,Scoleconectria canadensis,saprotroph,Saprotroph,NA,,,,,,,
Nectria eustromatica,Plant Pathogen undefined,Nectria eustromatica,saprotroph,Saprotroph,"Hirooka Y, et al. 2012. Studies in Mycology 71:1-210",,,,,,,
Nectria mariae,Plant Pathogen undefined,Nectria mariae,saprotroph,Saprotroph,"Hirooka Y, et al. 2012. Studies in Mycology 71:1-210",,,,,,,
Nectria pyriformis,Plant Pathogen undefined,Nectria pyriformis,saprotroph,Saprotroph,"Hirooka Y, et al. 2012. Studies in Mycology 71:1-210",,,,,,,
Neocoleroa metrosideri,Plant Pathogen undefined,Neocoleroa metrosideri,leaf_spots,Plant necrotroph,"Johnston, P. R., & Park, D. (2016). Neocoleroa metrosideri sp. nov.(Sympoventuriaceae, Venturiales). Phytotaxa, 253(3), 214-218.",,,,,,,
Neurospora crassa,Plant Pathogen undefined,Neurospora crassa,saprotroph,Saprotroph,"Galagan, James E., et al. ""The genome sequence of the filamentous fungus Neurospora crassa."" Nature 422.6934 (2003): 859-868.",,,,,,,
Ochrocladosporium elatum,Plant Pathogen undefined,Hormodendrum elatum,endophyte,Endophyte,NA,,,,,,,
Ochrocladosporium elatum,Plant Pathogen undefined,Cadophora elatum,endophyte,Endophyte,NA,,,,,,,
Ochrocladosporium elatum,Plant Pathogen undefined,Ochrocladosporium elatum,endophyte,Endophyte,NA,,,,,,,
Ochrocladosporium elatum,Plant Pathogen undefined,Cladosporium elatum,endophyte,Endophyte,"PS Rocha et al., 2020, Diversity, Chemical Constituents and Biological Activities of Endophytic Fungi Isolated from Schinus terebinthifolius Raddi, MDPI",,,,,,,
Paecilomyces fulvus,Plant Pathogen undefined,Byssochlamys fulva,rots,Plant necrotroph,https://www.apsnet.org/edcenter/resources/commonnames/Pages/Strawberry.aspx,,,,,,,
Paecilomyces fulvus,Plant Pathogen undefined,Paecilomyces fulvus,rots,Plant necrotroph,https://www.apsnet.org/edcenter/resources/commonnames/Pages/Strawberry.aspx,,,,,,,
Penicillium citrinum,Plant Pathogen undefined,Penicillium steckii,green_mould_rot,NA,NA,,,,,,,
Penicillium citrinum,Plant Pathogen undefined,Penicillium citrinum,green_mould_rot,NA,"WANG, Kaituo, et al. Methyl jasmonate induces resistance against Penicillium citrinum in Chinese bayberry by priming of defense responses. Postharvest Biology and Technology, 2014, 98. Jg., S. 90-97.",,,,,,,
Phacidiopycnis padwickii,Plant Pathogen undefined,Operculella padwickii,rots,Plant necrotroph,https://www.apsnet.org/edcenter/resources/commonnames/Pages/Chickpea.aspx,,,,,,,
Phacidiopycnis padwickii,Plant Pathogen undefined,Phacidiopycnis padwickii,rots,Plant necrotroph,https://www.apsnet.org/edcenter/resources/commonnames/Pages/Chickpea.aspx,,,,,,,
Phaeoseptoria musae,Plant Pathogen undefined,Phaeoseptoria musae,leaf_spots,Plant necrotroph,https://www.apsnet.org/edcenter/resources/commonnames/Pages/BananaandPlantain.aspx,,,,,,,
Phialophora asteris,Plant Pathogen undefined,Phialophora asteris,yellows,NA,https://www.apsnet.org/edcenter/resources/commonnames/Pages/Sunflower.aspx,,,,,,,
Phialophora asteris,Plant Pathogen undefined,Cephalosporium asteris,yellows,NA,NA,,,,,,,
Phragmidium rosae-pimpinellifoliae,Plant Pathogen undefined,Phragmidium rosae-pimpinellifoliae,rusts,Rust,https://www.apsnet.org/edcenter/resources/commonnames/Pages/Rose.aspx,,,,,,,
Phyllachora sacchari,Plant Pathogen undefined,Phyllachora sacchari,leaf_spots,Plant necrotroph,https://www.apsnet.org/edcenter/resources/commonnames/Pages/Sorghum.aspx,,,,,,,
Phyllosticta colocasiicola,Plant Pathogen undefined,Phyllosticta colocasiicola,endophytic,Endophyte,"Petrini, O., & Dreyfuss, M. (1981). Endophytische pilze in epiphytischen Araceae, Bromeliaceae und Orchidaceae. Sydowia, 34, 135-148.",,,,,,,
Pleurotus ostreatus,Plant Pathogen undefined,Pleurotus pulmonarius,rots saprotroph,Saprotroph,"Pham, M. T., Huang, C. M., & Kirschner, R. (2020). Antagonism against soil nematodes and plant pathogens and test of oxide solubilization in a subtropical wood-decay mushroom. Tropical Ecology, 1-7.",,,,,,,
