"text_entry","spec","spore_type","measure_orig","Dim1","Dim2","Dim3","V4"
"sporangiospores (sub)globose, 4-8 µm","Mucor racemosus f. sphaerosporus_16464_14989","sporangiospores","4-8 µ","6",NA,NA,NA
"sporangiospores sub-spherical or broadly ellipsoidal, mostly 4-5.5 µm","Mucor saturninus var. minutus_187377_15872","sporangiospores","4-5.5 µ","4.75",NA,NA,NA
"sporangiospores subspherical, mostly 4(-5) µm","Mucor saturninus var. minutus_187377_15872","sporangiospores","4(-5) µ","4.5",NA,NA,NA
"sporangiospores globose, subglobose or short oval, mostly the latter, hyaline, 3-7.5 (9) x 3-6 (7.5) µm,","Mucor saturninus var. minutus_187377_45949","sporangiospores","3-7.5 (9) x 3-6 (7.5) µ","7.5","6",NA,NA
"sporangiospores globose, subglobose, (11-) 14-18 (-24) µm","Mucor zychae var. linnemanniae_16526_15798","sporangiospores","(11-) 14-18 (-24) µ","16",NA,NA,NA
"sporangiospores 2.2-3.3 x 3.3-6.5 µm","Absidia cylindrospora var. rhizomorpha_60_133","sporangiospores","2.2-3.3 x 3.3-6.5 µ","2.75","4.9",NA,NA
"sporangiospores sub-spherical or broadly ellipsoidal, mostly 4-5.5 µm","Mucor griseoochraceus var. minuta_16316_15872","sporangiospores","4-5.5 µ","4.75",NA,NA,NA
"sporangiospores subspherical, mostly 4(-5) µm","Mucor griseoochraceus var. minuta_16316_15872","sporangiospores","4(-5) µ","4.5",NA,NA,NA
"sporangiospores globose, subglobose or short oval, mostly the latter, hyaline, 3-7.5 (9) x 3-6 (7.5) µm,","Mucor griseoochraceus var. minuta_16316_45949","sporangiospores","3-7.5 (9) x 3-6 (7.5) µ","7.5","6",NA,NA
"sporangiospores hyaline, mostly oblong elliptical, 6-15X 4.5-7.5 µm.","Mucor luteus var. indicus_16517_45953","sporangiospores","6-15x 4.5-7.5 µ","10.5","6",NA,NA
"sporangiospores ellipsoidal, (13.8-) 15.5-18 (-22.3) x (8.4-) 10.4-10.8 (11.1) µm,","Mucor recurvus var. indicus_16482_15788","sporangiospores","(13.8-) 15.5-18 (-22.3) x (8.4-) 10.4-10.8 (11.1) µ","16.75","10.6",NA,NA
"sporangiospores pale yellow in colour, orange yellow in mass, mostly with orange coloured contents, ellipsoidal sometimes reniform or globose, 12-16.5 (18) x (8.2) 9-12 µm,","Mucor recurvus var. indicus_16482_45955","sporangiospores","12-16.5 (18) x (8.2) 9-12 µ","16.5","9",NA,NA
"Sporangiospores.-Often irregular in shape, elongated, mostly kidney-, peanutor boot-shaped, or elliptical or polygonal; distinctly striated; wall thick; 4-17 µm","Rhizopus delemar var. multiplicisporus_47876_230","Sporangiospores.-Often","; 4-17 µ","10.5",NA,NA,NA
"sporangiospores variable, globose 5-11 µm","Rhizopus sexualis var. americanus_24438_143","sporangiospores","5-11 µ","8",NA,NA,NA
"sporangiospore wall thick, faintly striate; giant cells in substrate mycelium to 50 µm","Rhizopus sexualis var. americanus_24438_143","sporangiospore","50 µ","50",NA,NA,NA
"Sporangiospores (5-) 7-10 (-11) µm","Mortierella spinosa var. mutabilis_268050_18589","Sporangiospores","(5-) 7-10 (-11) µ","8.5",NA,NA,NA
"sporangiospores 3.5-4.5 x 2-3.5 µm,","Absidia cylindrospora var. nigra_57_7562","sporangiospores","3.5-4.5 x 2-3.5 µ","4","2.75",NA,NA
"Sporangiospores irregular, (4,5-) 7,5-18 (21) x (4-) 7,5-16,5 µm,","Choanephora persicaria var. indica_187666_13939","Sporangiospores","(4,5-) 7,5-18 (21) x (4-) 7,5-16,5 µ","12.75","7.5",NA,NA
"Sporangiospores irregular, (4,5-) 7,5-18 (21) x (4-) 7,5-16,5 µm,","Gilbertella persicaria var. indica_11597_13939","Sporangiospores","(4,5-) 7,5-18 (21) x (4-) 7,5-16,5 µ","12.75","7.5",NA,NA
"sporangiospores ellipsoidal, mostly 5.4 x 2.5 µm","Mucor nederlandicus_104674_15768","sporangiospores","5.4 x 2.5 µ","5.4","2.5",NA,NA
"sporangiospores ellipsoidal, 3-6(-7.5) x 2.4-4(-5) µm.","Protomycocladus faisalabadensis_31161_274","sporangiospores","3-6(-7.5) x 2.4-4(-5) µ","6","4",NA,NA
"sporangiospores were up to 4 x 8 µm,","Protomycocladus faisalabadensis_31161_274","sporangiospores","4 x 8 µ","4","8",NA,NA
"Sporangiospores ellipsoid, (9.5-)11.5-14.5(-18) µm","Pirella naumovii_54911_34463","Sporangiospores","(9.5-)11.5-14.5(-18) µ","13",NA,NA,NA
"sporangiospores smooth.walled, hyaline, ellipsoidal 1-5.2 x 1 µm.","Mucor nanus_38300_266","sporangiospores","1-5.2 x 1 µ","3.1","1",NA,NA
"Sporangiospores narrow ellipsoidal with rounded ends, unequal in size, 12.5-21 x 7.5-12 µm,","Mucor grandis_37795_268","Sporangiospores","12.5-21 x 7.5-12 µ","16.75","9.75",NA,NA
"Sporangiospores angular to broadly ellipsoidal, up to 6-8 µm,","Rhizopus caespitosus_36389_270","Sporangiospores","6-8 µ","7",NA,NA,NA
"Sporangiospores broadly ellipsoid or cylindrical with rounded ends; hyaline; 4.5-12 µm","Mucor thermophilus_50249_32244","Sporangiospores","; 4.5-12 µ","8.25",NA,NA,NA
"Sporangiospores.-Globose or polygonal; faintly striated; 3-7 µm","Rhizopus microsporus var. pseudochinensis_125093_227","Sporangiospores.-Globose","; 3-7 µ","5",NA,NA,NA
"sporangiospores rather irregular in size and shape, ellipsoidal, broadly ellipsoidal, a few globose, 4.4-6.1 (8) x 3.8-4.4 µm,","Mucor griseocyanus_35522_14983","sporangiospores","4.4-6.1 (8) x 3.8-4.4 µ","6.1","4.1",NA,NA
"Sporangiospores (sub-)globose, up to 5(-6) µm","Mucor rhizopodiformis_193505_7665","Sporangiospores","5(-6) µ","5.5",NA,NA,NA
"Sporangiospores (3,5-) 4-6 (-8) µm,","Mucor rhizopodiformis_193505_14821","Sporangiospores","(3,5-) 4-6 (-8) µ","5",NA,NA,NA
"sporangiospores 3.5-6(7) x 2.5-4.5 µm,","Rhizopus ramosus_361818_422","sporangiospores","3.5-6(7) x 2.5-4.5 µ","6","3.5",NA,NA
"Sporangiospores oblong to elliptical, smooth, grey in mass. Chlamydospores not seen; giant cells very common with irregularly ramified finger-1ike branches, c. 30-38 µm","Rhizopus ramosus_361818_13936","Sporangiospores",". 30-38 µ","34",NA,NA,NA
"Sporangiospores numerous in the terminal sporangium, in sporangiola 12-24 only, ellipsoidal hyaline 4.4-7.7 x 2.2-4.4 µm","Kirkia cordense_183573_209","Sporangiospores","4.4-7.7 x 2.2-4.4 µ","6.05","3.3",NA,NA
"Sporangiospores ellipsoid, (9.5-)11.5-14.5(-18) µm","Fennellomyces naumovii_179288_34463","Sporangiospores","(9.5-)11.5-14.5(-18) µ","13",NA,NA,NA
"sporangiospores 3-6.5(11) x 2.5-5 µm,","Lichtheimia corymbifera_162924_423","sporangiospores","3-6.5(11) x 2.5-5 µ","6.5","3.75",NA,NA
"Sporangiospores numerous, irregular in size and shape, smooth, mostly small, ovoid to subglobose, 2-3 (rarely 3,5-6,5) µm","Lichtheimia corymbifera_162924_13935","Sporangiospores","3,5-6,5) µ","5",NA,NA,NA
"Sporangiospores irregular in shape and size in different isolates, ranging from globose and sub-globose through ovoid and elliptical to oblong elliptical, 3-6,5 (-12,5) x 2,5-5 µm,","Lichtheimia corymbifera_162924_14820","Sporangiospores","3-6,5 (-12,5) x 2,5-5 µ","6.5","3.75",NA,NA
"sporangiospores 3.5-6(7) x 2.5-4.5 µm,","Lichtheimia ramosa_167357_422","sporangiospores","3.5-6(7) x 2.5-4.5 µ","6","3.5",NA,NA
"Sporangiospores oblong to elliptical, smooth, grey in mass. Chlamydospores not seen; giant cells very common with irregularly ramified finger-1ike branches, c. 30-38 µm","Lichtheimia ramosa_167357_13936","Sporangiospores",". 30-38 µ","34",NA,NA,NA
"Sporangiospores angular to broadly ellipsoidal, up to 6.5(-7.5) µm","Rhizopus microsporus var. microsporus_24358_7664","Sporangiospores","6.5(-7.5) µ","7",NA,NA,NA
"Sporangiospores angular-globose-ellipsoidal, up to 13 µm","Rhizopus stolonifer var. stolonifer_24440_7661","Sporangiospores","13 µ","13",NA,NA,NA
"Sporangiospores ovoid to rounded, striate (hazelnut-1ike), pale chestnut, with homogeneous content, (6.5-)8.2-16.7 x 6.1-16.3 µm.","Rhizopus stolonifer var. stolonifer_24440_52499","Sporangiospores","(6.5-)8.2-16.7 x 6.1-16.3 µ","8.2","11.2",NA,NA
"sporangiospores ellipsoidal, sometimes flattened at one side, containing a few scattered granules, variable in size, 5.7-8.7 x 2.7-5.4 µm;","Mucor hiemalis f. hiemalis_16320_7898","sporangiospores","5.7-8.7 x 2.7-5.4 µ","7.2","4.05",NA,NA
"Sporangiospores subglobose, (3-)4-6(-7) µm,","Mucor laxorrhizus var. laxorrhizus_203226_18844","Sporangiospores","(3-)4-6(-7) µ","5",NA,NA,NA
"Sporangiospores cylindrical, smooth, pale olive green, (2.6-)3.0-5.5 x 2.0-3.5 µm.","Absidia spinosa var. spinosa_103_52496","Sporangiospores","(2.6-)3.0-5.5 x 2.0-3.5 µ","3","2.75",NA,NA
"sporangiospores 3.3-5.5 x 2.2-3.5 µm,","Absidia cylindrospora var. cylindrospora_50_7570","sporangiospores","3.3-5.5 x 2.2-3.5 µ","4.4","2.85",NA,NA
"Sporangiospores angular-globose-ellipsoidal, up to 13(-15) µm","Rhizopus sexualis var. sexualis_24435_7662","Sporangiospores","13(-15) µ","14",NA,NA,NA
"Sporangiospores from sporangia ellipsoid to broadly ellipsoid, brown or reddish-brown to pale brown, distinctly or indistinctly longitudinally striate, (12-) 16-26 (-48) µm","Choanephorella cucurbitarum_155771_406","Sporangiospores","(12-) 16-26 (-48) µ","21",NA,NA,NA
"sporangiospore walt at maturity. Sporangiospores within sporangiola broadly fusiform, ellipsoid (typically) to broadly ellipsoid, more or less distinctly longitudinally striate and hence giving the intact sporangiolum a striate appearance, remaining inside the wall of the sporangiolum at maturity. Zygospores formed from tongs-1ike often slightly unequal, apposed suspensors, brown to reddish-brown, translucent, with a smooth, thin outer layer and a striate, thick inner layer, 30-105 µm","Choanephorella cucurbitarum_155771_406","sporangiospore","30-105 µ","67.5",NA,NA,NA
"Sporangiospores within sporangiola broadly fusiform, ellipsoid (typically) to broadly ellipsoid, more or less distinctly longitudinally striate and hence giving the intact sporangiolum a striate appearance, remaining inside the wall of the sporangiolum at maturity. Zygospores formed from tongs-1ike often slightly unequal, apposed suspensors, brown to reddish-brown, translucent, with a smooth, thin outer layer and a striate, thick inner layer, 30-105 µm","Choanephorella cucurbitarum_155771_406","Sporangiospores","30-105 µ","67.5",NA,NA,NA
"sporangiospores ellipsoidal, mostly 5.4 x 2.5 µm","Mucor subtilissimus_16503_15768","sporangiospores","5.4 x 2.5 µ","5.4","2.5",NA,NA
"sporangiospores 5-11.5 x 2.5-5 µm.","Mucor urceolatus_306205_23383","sporangiospores","5-11.5 x 2.5-5 µ","8.25","3.75",NA,NA
"Sporangiospores irregular in size and with angular ridges, surface smooth but with striation, at first white, then greyish brown-yellow individually, yellowish brown-back in mass, variable in size but not significant, 6-9.6 x 4.5-7.5 µm,","Rhizopus boreas_36387_146","Sporangiospores","6-9.6 x 4.5-7.5 µ","7.8","6",NA,NA
"Sporangiospores 5.5-9.2 µm","Rhizopus chungkuoensis_36394_147","Sporangiospores","5.5-9.2 µ","7.35",NA,NA,NA
"Sporangiospores.-Elliptical or polygonal; striated; 5-12 µm","Rhizopus javanicus_36402_224","Sporangiospores.-Elliptical","; 5-12 µ","8.5",NA,NA,NA
"Sporangiospores.-Elliptical or polygonal; faintly striated; 3-6g in length. Chlamydospores.-Abundant; globose (13-29 µm","Rhizopus semarangensis_36416_228","Sporangiospores.-Elliptical","(13-29 µ","21",NA,NA,NA
"sporangiospores thin and smooth-walled, globose to globose-angled or short oval, contents granular, singly hyaline to light brown, 10-25 µm","Sporodinia megalocarpus_158315_23169","sporangiospores","10-25 µ","17.5",NA,NA,NA
"sporangiospores 3.5-6(7) x 2.5-4.5 µm,","Absidia corymbifera var. ramosa_167358_422","sporangiospores","3.5-6(7) x 2.5-4.5 µ","6","3.5",NA,NA
"Sporangiospores oblong to elliptical, smooth, grey in mass. Chlamydospores not seen; giant cells very common with irregularly ramified finger-1ike branches, c. 30-38 µm","Absidia corymbifera var. ramosa_167358_13936","Sporangiospores",". 30-38 µ","34",NA,NA,NA
"sporangiospores ellipsoidal, 4.4-6.8 x 3.7-4.7 µm,","Calyptromyces circinelloides_203238_14981","sporangiospores","4.4-6.8 x 3.7-4.7 µ","5.6","4.2",NA,NA
"sporangiospores globose, a few el­lipsoidal or irregularly shaped, (5) 7-8 (10) µm","Calyptromyces plumbeus_165016_14987","sporangiospores","(5) 7-8 (10) µ","7.5",NA,NA,NA
"sporangiospores and columella; columella up to 50 x 25 µm,","Calyptromyces plumbeus_165016_18593","sporangiospores","50 x 25 µ","50","25",NA,NA
"Sporangiospores (5-) 7-9 (-10) µm","Calyptromyces plumbeus_165016_18593","Sporangiospores","(5-) 7-9 (-10) µ","8",NA,NA,NA
"sporangiospores 2.8-4.5 x 5.5-9 µm","Circinella lacrispora_277941_137","sporangiospores","2.8-4.5 x 5.5-9 µ","3.65","7.25",NA,NA
"sporangiospore contents hyaline to light huff, finely granular; chlamydospores to 8.5 x 11 µm","Circinella lacrispora_277941_137","sporangiospore","8.5 x 11 µ","8.5","11",NA,NA
"Sporangiospores.-Elliptical or polygonal; faintly striated; 4-10 µm","Mucor arrhizus_147866_219","Sporangiospores.-Elliptical","; 4-10 µ","7",NA,NA,NA
"Sporangiospores ovoid to ellipsoid or reniform, less commonly irregular in shape, (7-)8-10(-12.5) µm","Mucor circinans_41093_34462","Sporangiospores","(7-)8-10(-12.5) µ","9",NA,NA,NA
"Sporangiospores numerous, elongate to short oval or angular, brownish-black, (3-) 4 (-4,5) µm","Mucor microsporus_150217_13942","Sporangiospores","(3-) 4 (-4,5) µ","4",NA,NA,NA
"Sporangiospores (3-) 3,5-5 (-7) µm,","Mucor microsporus_150217_14822","Sporangiospores","(3-) 3,5-5 (-7) µ","4.25",NA,NA,NA
"Sporangiospores smooth-walled, hyaline, with one or more oil droplets, typically with one at either end of spore, generally oblong to oval, sometimes bluntly triangular or almost reni-form but never spherical, 2-3.3 x 3-6.5 µm","Mucor moelleri_150449_23386","Sporangiospores","2-3.3 x 3-6.5 µ","2.65","4.75",NA,NA
"Sporangiospores oval and (2-) 4-6-1.8-4.5 µm,","Mucor moelleri_150449_38487","Sporangiospores","(2-) 4-6-1.8-4.5 µ","6",NA,NA,NA
"sporangiospores, some collapsing dorsiventrally; oval to irregular spore-1ike bodies formed in some sporangia as a layer in the upper half to two-thirds of the sporangium, as many as 100 or more sometimes formed per sporangium; sporelike bodies gray, smooth with thin to thick walls, 10-40 x 9-10 µm,","Mucor rouxianus_29862_249","sporangiospores,","10-40 x 9-10 µ","25","9.5",NA,NA
"Sporangiospores irregularshaped, rounded or elongated (minority), greyish to dark grey, 2.6-15.4(-19.8) x 2.4-6.7 µm.","Mucor simplex_153604_52498","Sporangiospores","2.6-15.4(-19.8) x 2.4-6.7 µ","15.4","4.55",NA,NA
"Sporangiospores.-Elliptical, subglobose, polygonal or irregular in shape; striated; 6-15 µm","Rhizopus formosaensis_36398_222","Sporangiospores.-Elliptical,","; 6-15 µ","10.5",NA,NA,NA
"Sporangiospores.-Elliptical, globose or polygonal; striated; 5-8 µm","Rhizopus oryzae_24387_226","Sporangiospores.-Elliptical,","; 5-8 µ","6.5",NA,NA,NA
"Sporangiospores angular, subglobose to ellipsoidal, with ridges on the surface, up to 8 µm","Rhizopus oryzae_24387_7663","Sporangiospores","8 µ","8",NA,NA,NA
"Sporangiospores unequal, numerous, irregular, mostly oval, angular, with striations, 7-10 µm","Rhizopus oryzae_24387_13943","Sporangiospores","7-10 µ","8.5",NA,NA,NA
"Sporangiospores unequal, mainly angular sub-globose, rhomboidal or limoniform, occasionally elongate (? Where division not completed in the sporangium), (4-) 5-8 (-10) µm","Rhizopus oryzae_24387_14823","Sporangiospores",")(4-) 5-8 (-10) µ","6.5",NA,NA,NA
"Sporangiospores from sporangia ellipsoid to broadly ellipsoid, brown or reddish-brown to pale brown, distinctly or indistinctly longitudinally striate, (12-) 16-26 (-48) µm","Rhopalomyces elegans var. cucurbitarum_155772_406","Sporangiospores","(12-) 16-26 (-48) µ","21",NA,NA,NA
"sporangiospore walt at maturity. Sporangiospores within sporangiola broadly fusiform, ellipsoid (typically) to broadly ellipsoid, more or less distinctly longitudinally striate and hence giving the intact sporangiolum a striate appearance, remaining inside the wall of the sporangiolum at maturity. Zygospores formed from tongs-1ike often slightly unequal, apposed suspensors, brown to reddish-brown, translucent, with a smooth, thin outer layer and a striate, thick inner layer, 30-105 µm","Rhopalomyces elegans var. cucurbitarum_155772_406","sporangiospore","30-105 µ","67.5",NA,NA,NA
"Sporangiospores within sporangiola broadly fusiform, ellipsoid (typically) to broadly ellipsoid, more or less distinctly longitudinally striate and hence giving the intact sporangiolum a striate appearance, remaining inside the wall of the sporangiolum at maturity. Zygospores formed from tongs-1ike often slightly unequal, apposed suspensors, brown to reddish-brown, translucent, with a smooth, thin outer layer and a striate, thick inner layer, 30-105 µm","Rhopalomyces elegans var. cucurbitarum_155772_406","Sporangiospores","30-105 µ","67.5",NA,NA,NA
"Sporangiospores alike in sporangia and sporangiola, ovoid to ellipsoid, (3.6-)4.8-6.4(-6.8) x (2-) 2.4-3.2 µm","Thamnidium nigricans_167288_34494","Sporangiospores","(3.6-)4.8-6.4(-6.8) x (2-) 2.4-3.2 µ","5.6","2.4",NA,NA
"Sporangiospores alike in sporangia and sporangiola, ovoid to ellipsoid, (4-)5.2-7.2(-9.2) x (3.2-)4-5.6(-6) pin (av. 6.5 x 4.5 sm); 5-32 per sporangiole, Zygospores on MEYE globose to subglobose, 70-175 µm","Thamnidium piriforme_167312_34492","Sporangiospores","70-175 µ","6.5","4.5",NA,NA
"Sporangiospores alike in sporangia and sporangiola, ovoid to ellipsoidal, (4.4-)4.8-7.2(-7.6) x (3.6-)4-5.2 (-6) µm","Thamnidium repens_143038_34495","Sporangiospores","(4.4-)4.8-7.2(-7.6) x (3.6-)4-5.2 (-6) µ","6","4.6",NA,NA
"sporangiospores 2.5-5 µm","Tieghemella glauca_160661_322","sporangiospores","2.5-5 µ","3.75",NA,NA,NA
"Sporangiospores numerous in the terminal sporangium, in sporangiola 12-24 only, ellipsoidal hyaline 4.4-7.7 x 2.2-4.4 µm","Kirkomyces cordensis_183574_209","Sporangiospores","4.4-7.7 x 2.2-4.4 µ","6.05","3.3",NA,NA
"sporangiospores oblongly ellipsoidal, in young cultures rather uniform, (21.6) 39.2-40.5 x (8.1) 14.9-15.5 µm,","Mucor oblongiellipticus_16404_15792","sporangiospores","(21.6) 39.2-40.5 x (8.1) 14.9-15.5 µ","39.2","14.9",NA,NA
"sporangiospores are globose to broadly ellipsoidal, 30 x 18-20 µm;","Mucor oblongiellipticus_16404_15792","sporangiospores","30 x 18-20 µ","30","19",NA,NA
"Sporangiospores from sporangia ellipsoid to broadly ellipsoid, brown or reddish-brown to pale brown, distinctly or indistinctly longitudinally striate, (12-) 16-26 (-48) µm","Choanephora infundibulifera f. cucurbitarum_5139_406","Sporangiospores","(12-) 16-26 (-48) µ","21",NA,NA,NA
"sporangiospore walt at maturity. Sporangiospores within sporangiola broadly fusiform, ellipsoid (typically) to broadly ellipsoid, more or less distinctly longitudinally striate and hence giving the intact sporangiolum a striate appearance, remaining inside the wall of the sporangiolum at maturity. Zygospores formed from tongs-1ike often slightly unequal, apposed suspensors, brown to reddish-brown, translucent, with a smooth, thin outer layer and a striate, thick inner layer, 30-105 µm","Choanephora infundibulifera f. cucurbitarum_5139_406","sporangiospore","30-105 µ","67.5",NA,NA,NA
"Sporangiospores within sporangiola broadly fusiform, ellipsoid (typically) to broadly ellipsoid, more or less distinctly longitudinally striate and hence giving the intact sporangiolum a striate appearance, remaining inside the wall of the sporangiolum at maturity. Zygospores formed from tongs-1ike often slightly unequal, apposed suspensors, brown to reddish-brown, translucent, with a smooth, thin outer layer and a striate, thick inner layer, 30-105 µm","Choanephora infundibulifera f. cucurbitarum_5139_406","Sporangiospores","30-105 µ","67.5",NA,NA,NA
"sporangiospores variable, globose 5-11 µm","Rhizopus americanus_187404_143","sporangiospores","5-11 µ","8",NA,NA,NA
"sporangiospore wall thick, faintly striate; giant cells in substrate mycelium to 50 µm","Rhizopus americanus_187404_143","sporangiospore","50 µ","50",NA,NA,NA
"Sporangiospores hyaline, mostly ellipsoid, subglobose, or angular, 4-10 x 4-7 µm.","Mortierella tsukubaensis_211878_61080","Sporangiospores","4-10 x 4-7 µ","7","5.5",NA,NA
"Sporangiospores cylindrical and aciculate, 78-115 (97.4 ± 0.8) x 5-7 (6 ± 0.1) µm;","Myconymphaea yatsukahoi_54261_66245","Sporangiospores","78-115 (97.4 x 0.8) x 5-7 (6 x 0.1) µ","97.4","6",7,0.1
"sporangiospores and often containing a pseudocolumella; wall relatively thick except in spines, smooth, apices bearing 1-6 spines, or composed of a three-sided structure that is proximally constricted. Spines smooth, conical, straight to somewhat curved, 3.8-19 µm","Lobosporangium transversale_430355_17772","sporangiospores","3.8-19 µ","11.4",NA,NA,NA
"Sporangiospores globose to irregular in shape, 6.4-22 x 7.6-25 µm,","Lobosporangium transversale_430355_17772","Sporangiospores","6.4-22 x 7.6-25 µ","14.2","16.3",NA,NA
"sporangiospores, smooth, small, globose, columellate, with ca 40 angular spores ; columella distinct, swelling to 4-5 µm","Umbelopsis dimorpha_117013_61695","sporangiospores,","4-5 µ","4.5",NA,NA,NA
"Sporangiospores pale reddish in mass, nearly hyaline individually, smooth, distinctly angular in shape but the angles narrowly rounded and not sharp, (2.5-)3-5 µm","Umbelopsis dimorpha_117013_61695","Sporangiospores","(2.5-)3-5 µ","3",NA,NA,NA
"Sporangiospores elliptical, smooth, 4.9-12.58 x 3.24-8.00 µm.","Mucor sufu_58702_174","Sporangiospores","4.9-12.58 x 3.24-8.00 µ","8.74","5.62",NA,NA
"Sporangiospores more or less regular in size and shape, pale brown in mass, globose, angular, smooth-walled, 1.5-2 µm","Siepmannia lariceti_434655_26159","Sporangiospores","1.5-2 µ","1.75",NA,NA,NA
"Sporangiospores light brown, oval to almost ellipsoid, smooth, thin-walled 2-2.5 x 1.5 µm.","Siepmannia pineti_434656_26157","Sporangiospores","2-2.5 x 1.5 µ","2.25","1.5",NA,NA
"sporangiospores in situ. Zygospores biconical, 36-43 x 7-10 µm,","Ejectosporus spica_437246_19011","sporangiospores","36-43 x 7-10 µ","39.5","8.5",NA,NA
"sporangiospores in situ leaving the sporangial and spore walls attached to the thallus . Zygospores biconical, 54-71 x 9-12.5(-14) µm","Ejectosporus trisporus_437247_19013","sporangiospores","54-71 x 9-12.5(-14) µ","62.5","12.5",NA,NA
"sporangiospores hyaline, globose, ovoid or ellipsoid, 4-7 µm","Rhizopus microsporus var. azygosporus_445120_237","sporangiospores","4-7 µ","5.5",NA,NA,NA
"sporangiospores variable in shape and size, oblong ellipsoidal, ellipsoidal, planoconvex, a few globose, 5.5-13.5 x 3.5-8 µm,","Mucor variisporus_16516_15771","sporangiospores","5.5-13.5 x 3.5-8 µ","9.5","5.75",NA,NA
"Sporangiospores ellipsoidal, occasionally  kidney-shape in sideview, (8-) 13-19 (-23) x 5-10 µm.","Mucor renisporus_441217_22789","Sporangiospores","(8-) 13-19 (-23) x 5-10 µ","16","7.5",NA,NA
"sporangiospore, 5.3-9.8 x 3.7-7.5 µm.","Echinochlamydosporium variabile_450689_25632","sporangiospore,","5.3-9.8 x 3.7-7.5 µ","7.55","5.6",NA,NA
"sporangiospores 2.4-2.8 x 1.7-1.8 µm,","Lentamyces parricida_450923_7565","sporangiospores","2.4-2.8 x 1.7-1.8 µ","2.6","1.75",NA,NA
"sporangiospores very small, 1.6-3.3 x 1.6-2.2 µm,","Lentamyces zychae_450924_25918","sporangiospores","1.6-3.3 x 1.6-2.2 µ","2.45","1.9",NA,NA
"sporangiospores rectangular 30--37 x 7--7.5 µm","Arundinula opeongoensis_455647_29450","sporangiospores","30--37 x 7--7.5 µ","33.5","7.25",NA,NA
"sporangiospores variable in length 5.5--11 x 12--12.5 µm","Arundinula opeongoensis_455647_29450","sporangiospores","5.5--11 x 12--12.5 µ","8.25","12.25",NA,NA
"Sporangiospores principally globose to subglobose and broadly ovoid, (2.5-) 4-7 (-9.5) µm","Rhizomucor chlamydosporus_456148_30363","Sporangiospores","(2.5-) 4-7 (-9.5) µ","5.5",NA,NA,NA
"sporangiospores subglobose, occasionally ellipsoidal, 3-4 µm","Rhizomucor pusillus var. tauricus_456991_15806","sporangiospores","3-4 µ","3.5",NA,NA,NA
"Sporangiospores thick-walled and multinucleate (type A), 19.6-26.1 µm","Enterobryus viequensis_465347_37337","Sporangiospores",")19.6-26.1 µ","22.85",NA,NA,NA
"sporangiospores (2-3-3-4 µm)","Lichtheimia hongkongensis_463604_36581","sporangiospores","(2-3-3-4 µ","3",NA,NA,NA
"Sporangiospores smooth to rough-walled, hyaline to light brown, dark brown in mass, subglobose to broadly ellipsoidal or slightly irregular, 3.6-7.0 µm","Lichtheimia sphaerocystis_467589_38888","Sporangiospores","3.6-7.0 µ","5.3",NA,NA,NA
"Sporangiospores forming only in fertile sporangia, ellipsoid to oblong-ellipsoid, (2.5-)3.5-7 x (1.5-)2-2.5(-3.5) µm,","Ambomucor seriatoinflatus_469758_40565","Sporangiospores","(2.5-)3.5-7 x (1.5-)2-2.5(-3.5) µ","3.5","2.25",NA,NA
"sporangiospores that in turn have much shorter, curved, verticillate branches. Type: People’s Republic of China. Xinjiang, a glacial valley, 43.648994°N 85.117264°E, soil, 3 August 2001, Xing-zhong Liu (Holotype HMAS 89521-1; ex-holotype culture CGMCC 3.6784 = Am-2; GenBank KC108739. Isotypes HMAS 89521-2-8). Colonies on SMA and PDA at first subfloccose, then granulate, filling the Petri dish in 6-7 (SMA) or 5-6 (PDA) days at 18°C, about 1-3 mm high, at first white, then ‘Drab Gray’ to ‘Light Gray’ (Ridgway XLVI), reverse cream to light yellowish brown. Hyphae branching, nonseptate when young, septate in age, (1.5-)7-14(-18.5) µm","Ambomucor seriatoinflatus var. brevior_469759_40567","sporangiospores","(1.5-)7-14(-18.5) µ","10.5",NA,NA,NA
"Sporangiospores forming only in fertile sporangia, ellipsoid to oblong-ellipsoid, (2.5-)3.5-5 x (1.5-)2-2.5(-3.5) µm,","Ambomucor seriatoinflatus var. brevior_469759_40567","Sporangiospores","(2.5-)3.5-5 x (1.5-)2-2.5(-3.5) µ","3.5","2.25",NA,NA
"Sporangiospores forming only in fertile sporangia, oblong-ellipsoid, 2.5-4.5(-5.5) x 2-2.5 µm,","Ambomucor clavatus_470393_41488","Sporangiospores","2.5-4.5(-5.5) x 2-2.5 µ","4.5","2.25",NA,NA
"sporangiospores. Type: China, Tibet, Nyingchi, Bomê, on wild animal dung, 17 July 2004, Xiao-yong Liu (Holotype, HMAS 98956-1; isotypes, HMAS 98956-2,-3,-4,-5,-6,-7,-8; ex-type cultures, Am-14, CGMCC 3.06806). Colonies on SMA and PDA at first granulate and then floccose, 9 cm diameter in 7 days at 18°C, up to 2.5 cm high, at first dirty white and then ‘Pinkish Buff’ (Ridgway XXIX), reverse at first dirty white and then ‘Pinkish Cinnamon’ (Ridgway XXIX). Hyphae 21.5-66.5(-80.5) µm","Ambomucor ovalisporus_470420_41526","sporangiospores.","21.5-66.5(-80.5) µ","66.5",NA,NA,NA
