"text_entry","spec","spore_type","measure_orig","Dim1","Dim2","Dim3","Dim4"
"Basidiospores globose, hyaline, smooth, thin-walled, negative in Melzer's reagent, 4.5-6 µm","Cyphella poriaeformis_210673_44629","Basidiospores","4.5-6",5.25,NA,NA,NA
"Basidiospores globose, hyaline, thin-walled, smooth, inamyloid, acyanophilous, 4.5-5 µm","Cyphella poriaeformis_210673_54494","Basidiospores","4.5-5",4.75,NA,NA,NA
"Basidiospores ellipsoid to cylindrical, hyaline. thin-walled, smooth, negative in Melzer's reagent. 3.5-5 x 2-2.5 (-3) µm.","Fomes variegatus_79730_44071","Basidiospores",". 3.5-5 x 2-2.5 (-3)",4.25,2.5,NA,NA
"Basidiospores ellipsoid to cylindrical, hyaline. thin-walled, smooth, negative in Melzer's reagent. 3.5-5 x 2-2.5 (-3) µm.","Polyporus variegatus_79476_44071","Basidiospores",". 3.5-5 x 2-2.5 (-3)",4.25,2.5,NA,NA
"Microcharacters-Basidiospores 6.0-8.4 x 3.8-4.8 µm;","Agaricus melaleucus var. polioleucus_408494_49775","Microcharacters-Basidiospores","6.0-8.4 x 3.8-4.8",7.2,4.3,NA,NA
"Basidiospores ellipsoid to cylindrical, hyaline. thin-walled, smooth, negative in Melzer's reagent. 3.5-5 x 2-2.5 (-3) µm.","Boletus variegatus_82948_44071","Basidiospores",". 3.5-5 x 2-2.5 (-3)",4.25,2.5,NA,NA
"basidiospores  6-8 µm","Tomentella galzinii subsp. viridula_88227_882","basidiospores","6-8",7,NA,NA,NA
"Basidiospores 7-9 µm","Tomentella galzinii subsp. viridula_88227_952","Basidiospores","7-9",8,NA,NA,NA
"Basidiospores ovoid to subglobose, hyaline, smooth, negative in Melzer's reagent, 3.55 x 2.5-3.5 µm.","Phellinus prunicola_89776_44951","Basidiospores","3.55 x 2.5-3.5",3.55,3,NA,NA
"Basidiospores ellipsoid to ovoid, or subglobose to almost pear-shaped. hyaline, smooth. negative in Melzer's reagent. 2.5-3 x 2-2.5 µm.","Polyporus canadensis_69226_43905","Basidiospores",". 2.5-3 x 2-2.5",2.75,2.25,NA,NA
"basidiospores  7-9.5 µm","Tomentella spongiosa f. albomarginata_89651_34795","basidiospores","7-9.5",8.25,NA,NA,NA
