"text_entry","spec","spore_type","measure_orig","Dim1","Dim2","Dim3","Dim4"
"Basidiospores subglobose to globose, yellowish brown, thick-walled, IKI-, CB-, 7-8.9(-9.2) x (6-)6.2-8(-8.5) µm,","Inonotus canaricola_476957_49101","Basidiospores","-7-8.9(-9.2) x (6-)6.2-8(-8.5)",8.9,7.1,NA,NA
"Basidiospores allantoid, hyaline, thin-walled, smooth, IKI-, CB-, (2.6-)2.8-3.5(-3.7) x (0.6-)0.7-1 µm,","Skeletocutis substellae_476958_49103","Basidiospores","-(2.6-)2.8-3.5(-3.7) x (0.6-)0.7-1",3.15,0.7,NA,NA
"Basidiospores (9.5-)10.5-13.2(-15.5) x (5.7-)6.2-7.2(-7.8) µm","Cortinarius mikedavisii_476961_49109","Basidiospores","(9.5-)10.5-13.2(-15.5) x (5.7-)6.2-7.2(-7.8)",11.85,6.7,NA,NA
"Basidiospores   9-12(-14) x 6-8(-9) µm","Lepiota pallidiochracea_476984_49141","Basidiospores","9-12(-14) x 6-8(-9)",12,8,NA,NA
"Basidiospores broadly ellipsoid with a small apiculus, (7-)8-9(-9.3)-(5.5-)6-6.5(-7.2) µm,","Boidinella globulispora_476987_49146","Basidiospores","(7-)8-9(-9.3) x (5.5-)6-6.5(-7.2)",8.5,6.25,NA,NA
"basidiospores narrowly ellipsoid to subcylindrical, 8.5-10.5 x 4.5-5.5 µm,","Boidinella cystidolophora_476988_12672","basidiospores","8.5-10.5 x 4.5-5.5",9.5,5,NA,NA
"Basidiospores cylindrical to narrowly ellipsoid with a small apiculus, (9-)9.3-10.5(-10.7)-(4.3-)5-5.5(-6.1) µm,","Boidinella cystidolophora_476988_49147","Basidiospores","(9-)9.3-10.5(-10.7) x (4.3-)5-5.5(-6.1)",9.9,5.25,NA,NA
"Basidiospores L x W = (2.8)3.6-3.8(4.8) x (2.8)3.3-3.5(3.8) µm.","Pseudobaeospora deckeri_476994_49156","Basidiospores","= (2.8)3.6-3.8(4.8) x (2.8)3.3-3.5(3.8)",3.7,3.4,NA,NA
"Spores-Basidiospores small, ellipsoid, hyaline, thin-walled, smooth, IKI-, CB-, (2.5-)2.7-3 x (1.8-)1.9-2.2(-2.3) µm,","Junghuhnia minor_477282_49300","Spores-Basidiospores","-(2.5-)2.7-3 x (1.8-)1.9-2.2(-2.3)",2.7,2.05,NA,NA
"Basidiospores 4.5-6.5 (7) x 4.5-6 µm","Amaurodon angulisporus_477311_49342","Basidiospores","4.5-6.5 (7) x 4.5-6",6.5,5.25,NA,NA
"Basidiospores 4.2-5.5 (-6)-3.4-4.2 µm,","Lycoperdon ovoidisporum_477316_49352","Basidiospores","4.2-5.5 (-6)-3.4-4.2",6,NA,NA,NA
"Basidiospores 8-9.1-10 x 4.5-5.4-6.0 µm,","Marasmiellus milicae_477354_49441","Basidiospores","8-9.1-10 x 4.5-5.4-6.0",9.1,5.4,NA,NA
"Basidiospores 9-12 x 7-8(-9) x 5.5-7 µm,","Psilocybe thaiaerugineomaculans_477355_49443","Basidiospores","9-12 x 7-8(-9) x 5.5-7",10.5,8,6.25,NA
"Basidiospores (6.5-)7-8(-9) x (4.5-)5-5.5(-6.5) x 4.5-5 µm,","Psilocybe thaicordispora_477356_49445","Basidiospores","(6.5-)7-8(-9) x (4.5-)5-5.5(-6.5) x 4.5-5",7.5,5.25,4.75,NA
"Basidiospores 9-10(-11) x 6.5-7(-8) x 5.5-6.5 µm,","Psilocybe thaiduplicatocystidiata_477357_49447","Basidiospores","9-10(-11) x 6.5-7(-8) x 5.5-6.5",10,7,6,NA
"Basidiospores 6-6.5(-7) x (3-)3.5-4(-4.5) x 3-3.5 µm,","Psilocybe thaizapoteca_477358_49449","Basidiospores","6-6.5(-7) x (3-)3.5-4(-4.5) x 3-3.5",6.5,3.75,3.25,NA
"Basidiospores (Fig.2) (5.5) 6.3-7.8 (8.0)-(5.0) 5.6-6.4 (6.5) µm,","Russula zhejiangensis_477362_49457","Basidiospores",".2) (5.5) 6.3-7.8 (8.0) x (5.0) 5.6-6.4 (6.5)",6.3,6,NA,NA
"Spores.-Basidiospores ellipsoid, distinctly truncate, hyaline, thick-walled, smooth, strongly dextrinoid, CB+, (8.8-)9.0-9.8(-10.0) ´ (4.9-)5.0-5.9(-6.0) µm,","Perenniporia nanlingensis_477407_49534","Spores.-Basidiospores","+(8.8-)9.0-9.8(-10.0) x (4.9-)5.0-5.9(-6.0)",9.8,5.45,NA,NA
"Basidiospores ellipsoid, truncate or not, hyaline, thick-walled, smooth, dextrinoid, CB+, (6-)6.7-8.7(-9) x (5-)5.3-6.8(-7) µm,","Perenniporia tibetica_477430_49567","Basidiospores","+(6-)6.7-8.7(-9) x (5-)5.3-6.8(-7)",8.7,6.05,NA,NA
"Basidiospores 7.0-8.1-8.7 x 6.0-6.7-7.1 µm,","Lactarius elaioviscidus_477433_49573","Basidiospores","7.0-8.1-8.7 x 6.0-6.7-7.1",8.1,6.7,NA,NA
"Basidiospores 7.2-9.0-10.0 x 6.9-7.8-9.3 µm","Lactarius ermineus_477434_49575","Basidiospores","7.2-9.0-10.0 x 6.9-7.8-9.3",9,7.8,NA,NA
"Basidiospores 5.8-6.1-7.2 x 5.4-5.6-6.5 µm,","Lactarius byssaceus_477435_49577","Basidiospores","5.8-6.1-7.2 x 5.4-5.6-6.5",6.1,5.6,NA,NA
"basidiospores long acicular, spirally curved, with a vermiform shape, smooth, thin-walled, (25-)27-35(-38) x (1.8-)2-2.5(-2.8) µm,","Subulicystidium curvisporum_477481_49699","basidiospores","(25-)27-35(-38) x (1.8-)2-2.5(-2.8)",31,2.25,NA,NA
"Basidiospores ellipsoid to subglobose, (8.3-)8.4-10.2-12(-12.5) x (6.3-)6.6-8.1-9.5(-9.6) µm;","Cantharellus solidus_477515_49759","Basidiospores","(8.3-)8.4-10.2-12(-12.5) x (6.3-)6.6-8.1-9.5(-9.6)",10.2,8.1,NA,NA
"Basidiospores (8.5-)9.2-11.8(-12.5) x (5.7-)6.2-7.1(-7.5) µm","Amanita vernicoccora_477526_49785","Basidiospores","(8.5-)9.2-11.8(-12.5) x (5.7-)6.2-7.1(-7.5)",10.5,6.65,NA,NA
"Basidiospores broadly subfusiform to bi-apiculate, initially distal end obtuse, later developing an extended, thick-walled, refractive rostrum or beak, 27-40 x 10-15 µm,","Arrasia rostrata_477593_49876","Basidiospores","27-40 x 10-15",33.5,12.5,NA,NA
"Basidiospores broadly ellipsoid, hyaline, thick-walled, smooth, IKI-, moderately CB+, 3-3.8(-4)-(2.1-)2.3-3(-3.1) µm,","Inonotus tenuicontextus_477599_49944","Basidiospores","+3-3.8(-4) x (2.1-)2.3-3(-3.1)",3.8,2.65,NA,NA
"Basidiospores subglobose, pale brownish, thick-walled, echinulate, IKI+, slightly CB+ when juvenile, 5-6.7(-7) ? 4.8-6 µm,","Lenzitopsis daii_477600_49946","Basidiospores","5-6.7(-7) x 4.8-6",6.7,5.4,NA,NA
"Basidiospores 6.0-9.0 x 3.0-4.5 µm,","Cryptomarasmius crescentiae_477613_56684","Basidiospores","6.0-9.0 x 3.0-4.5",7.5,3.75,NA,NA
"Basidiospores typically ganodermoid, honey yellow, 17.5-21.5 x 11.5-14.5 µm,","Tomophagus cattienensis_477639_50035","Basidiospores","17.5-21.5 x 11.5-14.5",19.5,13,NA,NA
"Basidiospores (6.0) 7-8.5 (9.0) ´ 5.5-7.0 ?m [Q = (1.09) 1.17-1.33 (1.36), Q = 1.24 +- 0.05] (70/3/1)","Lactarius parvigerardii_477640_50037","Basidiospores","(6.0) 7-8.5 (9.0) x 5.5-7.0",7.75,6.25,NA,NA
"Basidiospores broadly ellipsoid, yellowish, thick-walled, smooth, CB-, IKI-, (5.5-)5.8-6.2(-6.3) x (4.5-)4.6-5.2 µm,","Fulvifomes cambodiensis_477648_50047","Basidiospores","-(5.5-)5.8-6.2(-6.3) x (4.5-)4.6-5.2",6,4.6,NA,NA
"Basidiospores   (9.0) 9.5-11.5 (12.0)-6.5-7.5 (8.0) µm,","Macrolepiota subcitrophylla_477662_50092","Basidiospores","(9.0) 9.5-11.5 (12.0)-6.5-7.5 (8.0)",12,NA,NA,NA
"Basidiospores (8.5)9-13(14) x (4.5)5-6(6.5) µm,","Corneroboletus indecorus_477794_57947","Basidiospores","(8.5)9-13(14) x (4.5)5-6(6.5)",11,5.5,NA,NA
"Basidiospores 11.7-15 x 6.4-7.5 x 5.8-6.5 µm,","Coprinellus fuscocystidiatus_477833_50131","Basidiospores","11.7-15 x 6.4-7.5 x 5.8-6.5",13.35,6.95,6.15,NA
"Basidiospores 8.9-14.2 x 5.8-7 x 6.2-6.7 µm,","Coprinellus pallidus_477834_50133","Basidiospores","8.9-14.2 x 5.8-7 x 6.2-6.7",11.55,6.4,6.45,NA
"Basidiospores 15-21.8 x 10-13 µm,","Coprinellus sabulicola_477835_50135","Basidiospores","15-21.8 x 10-13",18.4,11.5,NA,NA
"Basidiospores 9.2-13.3 x (5)5.5-7 µm,","Coprinellus cinereopallidus_477836_50137","Basidiospores","9.2-13.3 x (5)5.5-7",11.25,5.5,NA,NA
"Basidiospores 11.3-14 x 6.2-8 µm,","Coprinellus uljei_477837_50139","Basidiospores","11.3-14 x 6.2-8",12.65,7.1,NA,NA
"Basidiospores 10-25 x 4-6 µm,","Septobasidium saurauiae_477856_50167","Basidiospores","10-25 x 4-6",17.5,5,NA,NA
"BASIDIOSPORES (4.5)5-7-(2)3-3.5(4), ovoid to cylindrical, hyaline, smooth, thin-walled, 1-2 guttulate; BASIDIA 20-32-7.5-9.5 µm,","Pterula indica_477858_50171","BASIDIOSPORES","20-32-7.5-9.5",19.75,NA,NA,NA
"Basidiospores oblong to subellipsoid, (4.5)5-8.5 x (2)2.5-3.5 µm.","Trametes polyzona_477979_45184","Basidiospores","(4.5)5-8.5 x (2)2.5-3.5",5,2.5,NA,NA
"Spores.-Basidiospores ellipsoid to broadly ellipsoid, hyaline, thin-walled, usually bearing one or two guttules, IKI-, CB-, (7-)7.6-10(-11) x (4.6-)5-7(-8) µm,","Wolfiporia castanopsis_477980_50261","Spores.-Basidiospores","-(7-)7.6-10(-11) x (4.6-)5-7(-8)",8.8,6,NA,NA
"Basidiospores ellipsoid to broadly ellipsoid and sometimes collapsed, yellowish, thick-walled, smooth, IKI-, CB-, 8-9.5(-9.6)-(6-)6.1-7.1(-8) µm,","Inonotus parvulus_477981_50262","Basidiospores","-8-9.5(-9.6) x (6-)6.1-7.1(-8)",9.5,6.6,NA,NA
"Basidiospores ellipsoid, hyaline, slightly thick-walled smooth, IKI-, CB-, 6-8.9(-9)-(4.5-)4.9-6(-6.5) µm,","Inonotus magnus_477982_50263","Basidiospores","-6-8.9(-9) x (4.5-)4.9-6(-6.5)",8.9,5.45,NA,NA
"Basidiospores (Fig. 1a) (n/m/p) 20/1/1 incuding ornamentation 10-14x(5)6-8µm;Q=1.38-1.93(2);","Ganoderma lobenense_478015_50318","Basidiospores","10-14x(5)6-8",12,6,NA,NA
"Basidiospores (5.5)6-6.5 x (4.5)5-5.5, (5.97+-0.26 x 5.05+-0.26) µm,","Volvariella sathei_478035_50443","Basidiospores","(5.5)6-6.5 x (4.5)5-5.5(5.97+-0.26 x 5.05+-0.26)",6,5.25,5.05,NA
"Basidiospores globose to subglobose, sometimes compressed, 5-6.5(-7)-(4.5-)5-6(-6.5) µm,","Tsugacorticium kenaicum_478042_50545","Basidiospores","5-6.5(-7) x (4.5-)5-6(-6.5)",6.5,5.5,NA,NA
"Basidiospores hyaline, ellipsoid to broadly ellipsoid, IKI-, CB-, 5.2-6.2 x 3.2-4.2 µm.","Theleporus membranaceus_478058_50602","Basidiospores","-5.2-6.2 x 3.2-4.2",5.7,3.7,NA,NA
"Basidiospores ellipsoid to broadly ellipsoid, hyaline, thin-walled, smooth, IKI-, CB-, (5-)5.2-6.2(-6.5) x (3-)3.2-4.2(-4.4) µm,","Theleporus membranaceus_478058_50603","Basidiospores","-(5-)5.2-6.2(-6.5) x (3-)3.2-4.2(-4.4)",5.7,3.7,NA,NA
"Basidiospores hyaline, ellipsoid to oblong-ellipsoid, IKI-, CB-, 4-5 x 2.4-3.1 µm.","Theleporus minisporus_478059_50604","Basidiospores","-4-5 x 2.4-3.1",4.5,2.75,NA,NA
"Basidiospores ellipsoid to oblong-ellipsoid with tapering apex, hyaline, thin-walled, smooth, IKI-, CB-, (3.7-)4-5(-5.3) x (2.2-)2.4-3.1(-3.3) µm,","Theleporus minisporus_478059_50605","Basidiospores","-(3.7-)4-5(-5.3) x (2.2-)2.4-3.1(-3.3)",4.5,2.75,NA,NA
"Basidiospores hyaline, cylindrical, IKI-, CB-, 5.9-7 x 2-2.3 µm..","Grammothele denticulata_478060_50606","Basidiospores","-5.9-7 x 2-2.3",6.45,2.15,NA,NA
"Basidiospores cylindrical with tapering apex, hyaline, thin-walled, smooth, IKI-, CB-, (5.4-)5.9-7(-7.1) x (1.9-)2-2.3(-2.7) µm,","Grammothele denticulata_478060_50607","Basidiospores","-(5.4-)5.9-7(-7.1) x (1.9-)2-2.3(-2.7)",6.45,2.15,NA,NA
"Basidiospores narrowly ellipsoid, 6.5-7 x 2.5-3 µm.","Trametes glabrorigens_478097_45183","Basidiospores","6.5-7 x 2.5-3",6.75,2.75,NA,NA
"Basidiospores cylindrical, hyaline, thin-walled, inamyloid, 8-10 x 2.5-4.0 µm.","Trametes hostmannii_478099_57153","Basidiospores","8-10 x 2.5-4.0",9,3.25,NA,NA
"Basidiospores cylindrical, (8.5)9-12 x 3-3.7 µm.","Trametes strumosa_478103_45189","Basidiospores","(8.5)9-12 x 3-3.7",9,3.35,NA,NA
"Basidiospores elliposoid, 5-6 x 3.5-4 µm,","Xylodon asper_481617_54078","Basidiospores","5-6 x 3.5-4",5.5,3.75,NA,NA
"Basidiospores 15.0-20.0 x 6.0-7.5 µm,","Vararia longicystidiata_481685_57479","Basidiospores","15.0-20.0 x 6.0-7.5",17.5,6.75,NA,NA
"Basidiospores 5.7-8.6 x 5.7-7.2 µm,","Lactarius annulocystidiatus_482496_58001","Basidiospores","5.7-8.6 x 5.7-7.2",7.15,6.45,NA,NA
"Basidiospores cylindric to oblong-ellipsoid, hyaline, smooth. thin-walled, negative in Melzer's reagent, 9-12 x 3.5-4.5 µm.","Polyporus vaporarius subsp. macer_482751_43881","Basidiospores","9-12 x 3.5-4.5",10.5,4,NA,NA
"Basidiospores cylindric, straight or slightly curved, hyaline, thin-walled. negative in Melzer's reagent. 7-9 x 3-4 µm.","Trametes warnieri_478107_44113","Basidiospores",". 7-9 x 3-4",8,3.5,NA,NA
"Basidiospores (usually difficult to find and few in the specimens) broadly ellipsoid, smooth, thin-walled, 4.5-5(-5.5) x 3-3.5(-4) µm,","Xylodon juniperi_478108_22682","Basidiospores","4.5-5(-5.5) x 3-3.5(-4)",5,3.5,NA,NA
"Basidiospores ellipsoid, 5-6 x 3-4 µm,","Xylodon juniperi_478108_54083","Basidiospores","5-6 x 3-4",5.5,3.5,NA,NA
"basidiospores cylindrical to suballantoid, 7.5-12 x 3-3.5 µm,","Xylodon radula_478114_12587","basidiospores","7.5-12 x 3-3.5",9.75,3.25,NA,NA
"Basidiospores subcylindrical to allantoid, 8-10(-12) x 3-3.5 µm,","Xylodon radula_478114_48320","Basidiospores","8-10(-12) x 3-3.5",10,3.25,NA,NA
"basidiospores broadly ellipsoid, hyaline, smooth, negative in Melzer's reagent, 4.5-5.5 x 3.5-4.5 µm.","Xylodon sambuci_478115_1227","basidiospores","4.5-5.5 x 3.5-4.5",5,4,NA,NA
"basidiospores subglobose to ellipsoid, 5-6.5(-7.5) x (3.5-)4-5(-5.5) µm,","Xylodon sambuci_478115_12655","basidiospores","5-6.5(-7.5) x (3.5-)4-5(-5.5)",6.5,4.5,NA,NA
"Basidiospores ellipsoid, 4.5-6(-7) x 3.5-4(-4.5) µm,","Xylodon sambuci_478115_50938","Basidiospores","4.5-6(-7) x 3.5-4(-4.5)",6,4,NA,NA
"Basidiospores ellipsoid to ovoid, 4.5-6 x 4-4.5 µm,","Xylodon detriticus_478116_50899","Basidiospores","4.5-6 x 4-4.5",5.25,4.25,NA,NA
"Basidiospores narrowly ellipsoid, 5-6 x 3.5-4 µm,","Xylodon rimosissimus_478118_54088","Basidiospores","5-6 x 3.5-4",5.5,3.75,NA,NA
"Basidiospores (7.5-)8-9 x (2-)3-3.5 µm,","Xylodon syringae_478119_4585","Basidiospores","(7.5-)8-9 x (2-)3-3.5",8,3,NA,NA
"Basidiospores oblong ellipsoid to subcylindrical, smooth, 8-11 x 5-6 µm.","Xylobolus thoenii_478120_5603","Basidiospores","8-11 x 5-6",9.5,5.5,NA,NA
"basidiospores ellipsoid, slightly depressed on one side, 7.5-9 x 4.5-5.5(-6) µm,","Byssomerulius auratus_478123_11939","basidiospores","7.5-9 x 4.5-5.5(-6)",8.25,5.5,NA,NA
"basidiospores (9-) 10-12-3.5-4 µm,","Dichomitus amazonicus_478145_50712","basidiospores","(9-) 10-12-3.5-4",12,NA,NA,NA
"basidiospores oblong ellipsoid, hyaline, thin-walled, smooth, 4-4.5-1.7-2.2 µm","Ceriporia angulata_478146_50714","basidiospores","4-4.5-1.7-2.2",3.1,NA,NA,NA
"Basidiospores cylindric, straight, hyaline, thinwalled, smooth, IKI-, 8-10(-11) x 2.7-3.5 µm,","Fuscoporia palomari_478196_50843","Basidiospores","-8-10(-11) x 2.7-3.5",10,3.1,NA,NA
"Basidiospores Ellipsoid, hyaline, thin-walled, smooth, IKI-, CB-, (2.6-) 2.7-3.1(-3.2) x 1.5-1.9(-2.0) µm,","Skeletocutis bambusicola_478200_50895","Basidiospores","-(2.6-) 2.7-3.1(-3.2) x 1.5-1.9(-2.0)",2.9,1.9,NA,NA
"Basidiospores 8-9.6 x 5.6-7 µm","Inocybe amicta_478209_71293","Basidiospores","8-9.6 x 5.6-7",8.8,6.3,NA,NA
"Basidiospores hyaline, thin-walled, smooth, IKI-, cylindrical or somewhat fusiform, 10-12 x 2.8-3.8 µm.","Antrodia madronae_478217_51105","Basidiospores","10-12 x 2.8-3.8",11,3.3,NA,NA
"Basidiospores broadly ellipsoid, distinctly narrowing to the apex in most cases, hyaline, thinwalled, smooth, IKI-, 3.5-4.5(-5) x 2.2-3 µm.","Ceriporiopsis pseudoplacenta_478218_51107","Basidiospores","-3.5-4.5(-5) x 2.2-3",4.5,2.6,NA,NA
"Basidiospores narrowly ellipsoid to cylindrical, hyaline, thin-walled, smooth, IKI-, 5-6 x 2-2.3 µm.","Skeletocutis subodora_478219_51109","Basidiospores","-5-6 x 2-2.3",5.5,2.15,NA,NA
"Basidiospores 10-(13)-14.5 x 8.5-(12.5)-14.5 mm, Q 5 1.05-1.15, globose to ovoid, spore wall 1-2.5 µm","Cryptolepiota microspora_478220_54660","Basidiospores","1-2.5",1.75,NA,NA,NA
"Basidiospores 10-(13.8)-16 x 7.5-(10.5)-12.5 mm, Q 5 1.23-1.31, subglobose to ovoid, spore wall 0.5-2 µm","Cryptolepiota mengei_478221_54658","Basidiospores","0.5-2",13.8,10.5,NA,NA
"Basidiospores 8-10(-11) x (3-)4-4.5(-5) µm","Crinipellis brunneoaurantiaca_478224_51153","Basidiospores","8-10(-11) x (3-)4-4.5(-5)",10,4.25,NA,NA
"Basidiospores (7-)8-9 x 4.5-5 µm","Crinipellis pallidibrunnea_478225_51155","Basidiospores","(7-)8-9 x 4.5-5",8,4.75,NA,NA
"Basidiospores 7-10(-11) x 3-4.5(-5) µm","Crinipellis rubella_478226_51157","Basidiospores","7-10(-11) x 3-4.5(-5)",10,4.5,NA,NA
"Basidiospores broadly ellipsoid, yellowish, brownish yellow, or brownish, smooth, slightly thick-walled or thick-walled, (3.8-)4.0-4.9(-5.1) x (3.0-) 3.1-3.9(-4.1) µm","Inonotus sanghuang_478227_51159","Basidiospores","(3.8-)4.0-4.9(-5.1) x (3.0-) 3.1-3.9(-4.1)",4.45,3.5,NA,NA
"Basidiospores broadly ellipsoid or subglobose, colorless, yellowish, to pale yellowish brown, smooth, slightly thickwalled, (3.7-)3.8-4.2(-4.4) x (2.9-)3.0-3.6(-3.8) µm","Inonotus weigelae_478228_51161","Basidiospores","(3.7-)3.8-4.2(-4.4) x (2.9-)3.0-3.6(-3.8)",4,3.3,NA,NA
"Basidiospores subcylindrical to narrowly ellipsoid, some subnavicular, 7-8(-8.5)-2.5-3 µm,","Athelopsis tenuicystidiata_478312_51564","Basidiospores","7-8(-8.5)-2.5-3",8.5,NA,NA,NA
"Basidiospores ellipsoid, some with tapering apex, hyaline, thin-walled, smooth, IKI-, CB-, 5-6.5(-6.8) x (2.8-)3-3.5(-3.8) µm,","Hymenochaete yunnanensis_478322_51566","Basidiospores","-5-6.5(-6.8) x (2.8-)3-3.5(-3.8)",6.5,3.25,NA,NA
"basidiospores 4.0-4.5 x 2.7-3.6 µm","Laetiporus caribensis_478335_51574","basidiospores","4.0-4.5 x 2.7-3.6",4.25,3.15,NA,NA
"Basidiospores globose to subglobose or broadly ellipsoid, spinose, pale cinnamon, dextrinoid, 8.5-(8.9-) 13.3 (-13.8)-(8-) 8.1-11.6 (-12.4) µm,","Octaviania nonae_478339_51582","Basidiospores","8.5-(8.9-) 13.3 (-13.8) x (8-) 8.1-11.6 (-12.4)",11.1,9.85,NA,NA
"Basidiospores globose to subglobose or broadly ellipsoid, spinose, dextrinoid, (10-) 10.3-13.4 (-13.4)-(9.3-) 9.3-12.4 (-12.9) µm,","Octaviania decimae_478340_51584","Basidiospores","(10-) 10.3-13.4 (-13.4) x (9.3-) 9.3-12.4 (-12.9)",11.85,10.85,NA,NA
"Basidiospores globose to subglobose, spinose, dextrinoid, 11.1-(11.3-) 14.9 (-15.6)-10.2-(10.4-) 14.1 (-15.6) µm,","Octaviania mortae_478341_51586","Basidiospores","11.1-(11.3-) 14.9 (-15.6)-10.2-(10.4-) 14.1 (-15.6)",12.9,NA,NA,NA
"Basidiospores globose to subglobose, spinose, dextrinoid, (9.9-) 9.9-12.9 (-13.2)-(9.3-) 9.4 (-12)-12.1 µm,","Octaviania celatifilia_478342_51588","Basidiospores","(9.9-) 9.9-12.9 (-13.2) x (9.3-) 9.4 (-12)-12.1",11.4,10.7,NA,NA
"Basidiospores globose to broadly ellipsoid, spinose, weakly dextrinoid, pale ochraceous to tawny under the light microscope, (8.4-) 8.6-13.6 (-14.4)-(7.8-) 8.1-12 (-12.9) µm,","Octaviania kobayasii_478370_51608","Basidiospores","(8.4-) 8.6-13.6 (-14.4) x (7.8-) 8.1-12 (-12.9)",11.1,10.05,NA,NA
"Basidiospores globose to broadly ellipsoid, spinose, weakly to moderately dextrinoid, fulvous to tawny with light microscopy, (10-) 10-15.6 (-18.2)-9.4-(9.9-) 14.8 (-17.8) µm,","Octaviania hesperi_478371_51610","Basidiospores","(10-) 10-15.6 (-18.2)-9.4-(9.9-) 14.8 (-17.8)",13.8,NA,NA,NA
"Basidiospores globose to subglobose, spinose, dextrinoid, spadiceous to tawny with light microscopy, (9.1-) 9.3-12 (-12.1)-8.7-(8.9-) 11.3 (-11.4) µm,","Octaviania japonimontana_478372_51612","Basidiospores","(9.1-) 9.3-12 (-12.1)-8.7-(8.9-) 11.3 (-11.4)",10.4,NA,NA,NA
"Basidiospores globose, subglobose, or broadly ellipsoid, spinose, dextrinoid, yellowish brown to fuscous under the light microscope, 8.1-(8.8-) 15.1 (-18.5)-7.5-(8-) 13.4 (-15.1) µm,","Octaviania durianelloides_478373_51614","Basidiospores","8.1-(8.8-) 15.1 (-18.5)-7.5-(8-) 13.4 (-15.1)",13,NA,NA,NA
"basidiospores immersed in a glutinous matrix, trama white at first, but quickly turning indigo blue to blackish blue at maturity when exposed to air. Sterile base pulvinate or somewhat dendroid, upper portion turning the same colour as glebal trama at maturity when exposed to air, the lower portion turning the same colour as perdium. Odour pleasant, slightly sweet, refreshing, similar to pandan leaves (Pandanus amaryllifolius roxb.). Basidiospores globose to subglobose, weakly dextrinoid, spinose, 9.3-(9.5-) 14.8 (-16.6)-8.4-(9.1-) 13.9 (-14.4) µm,","Octaviania yaeyamaensis_478374_51616","basidiospores","9.3-(9.5-) 14.8 (-16.6)-8.4-(9.1-) 13.9 (-14.4)",12.5,NA,NA,NA
"Basidiospores globose to subglobose, weakly dextrinoid, spinose, 9.3-(9.5-) 14.8 (-16.6)-8.4-(9.1-) 13.9 (-14.4) µm,","Octaviania yaeyamaensis_478374_51616","Basidiospores","9.3-(9.5-) 14.8 (-16.6)-8.4-(9.1-) 13.9 (-14.4)",12.5,NA,NA,NA
"basidiospores and immersed in a glutinous matrix, trama white not discolouring or sometimes turning slightly blackish when cut. Sterile base pulvinate or somewhat dendroid, turning blackish when exposed to air. Odour unknown. Basidiospores globose to broadly ellipsoid, weakly dextrinoid, spinose, 9.3-(9.4-) 12.3 (-12.8)-(8.1-) 8.1-10.8 (-11.6) µm,","Octaviania etchuensis_478375_51618","basidiospores","9.3-(9.4-) 12.3 (-12.8) x (8.1-) 8.1-10.8 (-11.6)",10.85,9.45,NA,NA
"Basidiospores globose to broadly ellipsoid, weakly dextrinoid, spinose, 9.3-(9.4-) 12.3 (-12.8)-(8.1-) 8.1-10.8 (-11.6) µm,","Octaviania etchuensis_478375_51618","Basidiospores","9.3-(9.4-) 12.3 (-12.8) x (8.1-) 8.1-10.8 (-11.6)",10.85,9.45,NA,NA
"Basidiospores globose to broadly ellipsoid, weakly dextrinoid, warty to spiny, brown at maturity, 12.6-(13-)17.1 (-17.7)-(11.3-) 11.3-15.6 (-15.8) µm,","Octaviania asahimontana_478376_51620","Basidiospores","12.6-(13-)17.1 (-17.7) x (11.3-) 11.3-15.6 (-15.8)",15.05,13.45,NA,NA
"Basidiospores ellipsoid to narrowly ellipsoid, (5-)5.5-6(-7.3)-3.3-4(-4.7) µm,","Hyphodontia anmashanensis_478385_51630","Basidiospores","(5-)5.5-6(-7.3)-3.3-4(-4.7)",7.3,NA,NA,NA
"Basidiospores broadly ellipsoid to ellipsoid, rarely subglobose and oblong, 4-5.5(-6)-(2.8-)3.3-4.2(-4.5) µm,","Hyphodontia subclavata_478386_51632","Basidiospores","4-5.5(-6) x (2.8-)3.3-4.2(-4.5)",5.5,3.75,NA,NA
"Basidiospores 5.5-7.0-7.3-9.0 x 4.9-5.8-6.8-7.7 µm,","Lactifluus pilosus_478425_23995","Basidiospores","5.5-7.0-7.3-9.0 x 4.9-5.8-6.8-7.7",7.15,6.3,NA,NA
"Basidiospores  (6-) 6.5-7.5 (-8) x 5-6.5 µm","Lactifluus puberulus_478426_23535","Basidiospores","(6-) 6.5-7.5 (-8) x 5-6.5",7,5.75,NA,NA
"Basidiospores without spines (11-)12-15(-19) x 11-14(-15) µm","Octaviania violascens_478436_51791","Basidiospores","(11-)12-15(-19) x 11-14(-15)",13.5,14,NA,NA
"Basidiospores 7.2-7.9-8.7 x 7.0-7.5-8.3 µm,","Lactarius crenulatus_478437_51793","Basidiospores","7.2-7.9-8.7 x 7.0-7.5-8.3",7.9,7.5,NA,NA
"Basidiospores 9.0-9.2-10.1 x 7.8-8.7-9.5 µm,","Lactarius croceigalus_478438_51795","Basidiospores","9.0-9.2-10.1 x 7.8-8.7-9.5",9.2,8.7,NA,NA
"absent.-Basidiospores (5.5-)6-6.5 x (4.5-)5-5.5 x 3.5-4 µm,","Deconica deconicoides_478467_33026","absent.-Basidiospores","(5.5-)6-6.5 x (4.5-)5-5.5 x 3.5-4",6,5,3.75,NA
"basidiospores broadly ellipsoid, 9-12 x 5.5-8.5 µm,","Hyphoderma prosopidis_478474_3119","basidiospores","9-12 x 5.5-8.5",10.5,7,NA,NA
