"taxon","simplified_disease","simplified_disease_1","simplified_disease_2"
"Alphitomorpha macularis","powdery mildew","powdery_mildew","powdery_mildews"
"Alphitomorpha macularis var. epilobii","powdery mildew","powdery_mildew","powdery_mildews"
"Alphitomorpha pannosa","powdery mildew","powdery_mildew","powdery_mildews"
"Alphitomorpha penicillata","powdery mildew","powdery_mildew","powdery_mildews"
"Alphitomorpha penicillata var. berberidis","powdery mildew","powdery_mildew","powdery_mildews"
"Alphitomorpha penicillata var. grossulariae","powdery mildew","powdery_mildew","powdery_mildews"
"Alphitomorpha pisi","powdery mildew","powdery_mildew","powdery_mildews"
"Alphitomorpha tortilis","powdery mildew","powdery_mildew","powdery_mildews"
"Alphitomorpha tridactyla","powdery mildew","powdery_mildew","powdery_mildews"
"Alphitomorpha urticae","powdery mildew","powdery_mildew","powdery_mildews"
"Arthrocladiella mougeotii","powdery mildew","powdery_mildew","powdery_mildews"
"Blumeria graminis","powdery mildew","powdery_mildew","powdery_mildews"
"Botrytis euphorbiae","powdery mildew","powdery_mildew","powdery_mildews"
"Caespitotheca forestalis","powdery mildew","powdery_mildew","powdery_mildews"
"Cystotheca wrightii","powdery mildew","powdery_mildew","powdery_mildews"
"Desetangsia drabae","powdery mildew","powdery_mildew","powdery_mildews"
"Desetangsia mors-uvae","powdery mildew","powdery_mildew","powdery_mildews"
"Erysiphe abeliicola","powdery mildew","powdery_mildew","powdery_mildews"
"Erysiphe acaciae","powdery mildew","powdery_mildew","powdery_mildews"
"Erysiphe acalyphae","powdery mildew","powdery_mildew","powdery_mildews"
"Erysiphe acantholimonis","powdery mildew","powdery_mildew","powdery_mildews"
"Erysiphe actinidiae","powdery mildew","powdery_mildew","powdery_mildews"
"Erysiphe actinostemmatis","powdery mildew","powdery_mildew","powdery_mildews"
"Erysiphe adunca","powdery mildew","powdery_mildew","powdery_mildews"
"Erysiphe adunca var. adunca","powdery mildew","powdery_mildew","powdery_mildews"
"Erysiphe afrormosiae","powdery mildew","powdery_mildew","powdery_mildews"
"Erysiphe aggregata","powdery mildew","powdery_mildew","powdery_mildews"
"Erysiphe akebiae","powdery mildew","powdery_mildew","powdery_mildews"
"Erysiphe alashanensis","powdery mildew","powdery_mildew","powdery_mildews"
"Erysiphe alhagi","powdery mildew","powdery_mildew","powdery_mildews"
"Erysiphe americana","powdery mildew","powdery_mildew","powdery_mildews"
"Erysiphe andina","powdery mildew","powdery_mildew","powdery_mildews"
"Erysiphe aquilegiae","powdery mildew","powdery_mildew","powdery_mildews"
"Erysiphe arabidis","powdery mildew","powdery_mildew","powdery_mildews"
"Erysiphe arcuata","powdery mildew","powdery_mildew","powdery_mildews"
"Erysiphe artemisiae","powdery mildew","powdery_mildew","powdery_mildews"
"Erysiphe artemisiae var. cynoglossi","powdery mildew","powdery_mildew","powdery_mildews"
"Erysiphe artemisiae var. sordida","powdery mildew","powdery_mildew","powdery_mildews"
"Erysiphe asclepiadis","powdery mildew","powdery_mildew","powdery_mildews"
"Erysiphe asiatica","powdery mildew","powdery_mildew","powdery_mildews"
"Erysiphe astragali","powdery mildew","powdery_mildew","powdery_mildews"
"Erysiphe atraphaxis var. pluriappendicis","powdery mildew","powdery_mildew","powdery_mildews"
"Erysiphe aucubae","powdery mildew","powdery_mildew","powdery_mildews"
"Erysiphe aurea","powdery mildew","powdery_mildew","powdery_mildews"
"Erysiphe australis","powdery mildew","powdery_mildew","powdery_mildews"
