Species,spore_type,Primers.name,phylum,class,order,guild,Life_style,simpleFunct,host.assoc,log10.sporeVolume,log10.sporeAspectRatio,n_samples_env,alt_mean,mat_mean,map_mean,seasonality_t_mean,seasonality_p_mean,maxsrad_mean,minvapr_mean,alt_sd,mat_sd,map_sd,seasonality_t_sd,seasonality_p_sd,maxsrad_sd,minvapr_sd,geo_extent_m,geo_extent_prop,geo_area_m,geo_area_prop
Bondarzewia_tibetica,Meiospores,ITS3/ITS4,Basidiomycota,Agaricomycetes,Russulales,NA,NA,NA,NA,2.14427192692112,0.006733382658968403,1,2907,-2.84374998613364,1007.66666666667,617.860159255271,15.0888259193092,20976.1666666667,0.195000000298023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonomyces_sinopicus,Meiospores,ITS3/ITS4,Basidiomycota,Agaricomycetes,Agaricales,NA,NA,NA,NA,2.1442066734491467,0.2041199826559248,1,16,6.67142857522482,597.857142857143,744.976517281824,33.9400648047538,21298.2857142857,0.401428576026644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Botryobasidium_intertextum,Meiospores,ITS3/ITS4,Basidiomycota,Agaricomycetes,Cantharellales,NA,NA,NA,NA,1.2375125621883776,0.6154239528859439,2,264.5,3.4649305657690603,759,1012.0490760382626,28.5889593956369,20946.8333333333,0.2750000059604645,275.064537881567,2.4095645017919463,104.88750587600498,255.30812717339847,5.7525321077040825,208.59650045003153,0.12020816460283101,NA,NA,NA,NA
Botryobasidium_laeve,Meiospores,fITS7/ITS4,Basidiomycota,Agaricomycetes,Cantharellales,NA,NA,NA,NA,1.5556787009110944,0.3010299956639812,2,357,0.578333323914558,333.8,775.535746036564,44.4356875563483,18536.5,0.211999996006489,0,0,0,0,0,0,0,NA,NA,NA,NA
Botryobasidium_laeve,Meiospores,ITS1F/ITS2,Basidiomycota,Agaricomycetes,Cantharellales,NA,NA,NA,NA,1.5556787009110944,0.3010299956639812,5,1068.4,7.5902777798887735,722.9333333333332,664.8992546311096,38.982108221739395,20648.53333333332,0.3873333324988686,666.030629926282,3.208360933326472,54.8635428434343,54.22973570962819,7.07158485519864,60.888490976009564,0.06298809389544889,NA,NA,NA,NA
Botryobasidium_laeve,Meiospores,ITS1F/ITS4,Basidiomycota,Agaricomycetes,Cantharellales,NA,NA,NA,NA,1.5556787009110944,0.3010299956639812,1,75,8.64027780294418,597.833333333333,683.714350848756,26.7453411476892,19437.3333333333,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Botryobasidium_laeve,Meiospores,ITS3/ITS4,Basidiomycota,Agaricomycetes,Cantharellales,NA,NA,NA,NA,1.5556787009110944,0.3010299956639812,13,116.53846153846153,6.3977369620879845,682.1615384615384,851.0755995774066,30.279553700848986,20658.92930402931,0.3855164846630543,115.39975114402355,6.131103926941172,202.61798634870297,113.39060537249632,8.162615651036347,1608.97100925742,0.19579307037490704,9801661.883669617,0.49008309418348084,3471418585378.1123,0.023403978974543313
Botryobasidium_obtusisporum,Meiospores,ITS1F/ITS2,Basidiomycota,Agaricomycetes,Cantharellales,NA,NA,NA,NA,2.0723858415602234,0.3233063903751334,9,1661.888888888889,4.76058642959659,670.548148148148,617.1489812254385,45.846543944763724,20621.244444444423,0.3352592587471008,290.5260076328987,1.6281524615175225,11.726455265186749,26.90966448161725,1.3259856630200655,105.16615953391612,0.04126027747400606,5624.935952743605,2.812467976371803e-4,232966295.86633384,1.5706369474423485e-6
Botryobasidium_obtusisporum,Meiospores,ITS3/ITS4,Basidiomycota,Agaricomycetes,Cantharellales,NA,NA,NA,NA,2.0723858415602234,0.3233063903751334,5,121.4,4.084697431615658,623.0666666666666,862.9636942618101,33.30566437343352,19868.50238095238,0.314000000804663,108.62228132386099,2.5943451861857354,32.44828526586592,91.05448007590988,3.4936440442401397,620.5611489106229,0.04774934658444828,1045645.4860443354,0.05228227430221677,24300882623.961205,1.6383427466500275e-4
Botryobasidium_subcoronatum,Meiospores,fITS7/ITS4,Basidiomycota,Agaricomycetes,Cantharellales,NA,NA,NA,NA,1.4348649163936562,0.39786821259237826,1,357,0.578333323914558,333.8,775.535746036564,44.4356875563483,18536.5,0.211999996006489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Botryobasidium_subcoronatum,Meiospores,ITS1F/ITS2,Basidiomycota,Agaricomycetes,Cantharellales,NA,NA,NA,NA,1.4348649163936562,0.39786821259237826,46,1139.304347826087,7.176604771808999,814.8423913043476,639.1092462079285,33.09492996730663,21298.91014492753,0.4277753618748292,586.085464741002,2.886231680615887,194.16098032387296,98.37200491809367,16.683620451949565,2096.6957063951368,0.11368765638413089,9245769.163997293,0.46228845819986464,5733471175030.722,0.03865452567338646
Botryobasidium_subcoronatum,Meiospores,ITS1F/ITS4,Basidiomycota,Agaricomycetes,Cantharellales,NA,NA,NA,NA,1.4348649163936562,0.39786821259237826,29,370.13793103448273,7.723615914236472,838.1515599343186,659.456607089489,16.570192916283556,18639.30804597701,0.49041708151890934,211.90592996117255,0.7838474493734064,120.75446211875106,53.1029633318937,6.4097125483216715,489.5627126076936,0.050737503269289864,15493613.258401956,0.7746806629200979,25755300280355.26,0.17363982228574396
