"clade","species","value"
"basal_dicots","Piper amalago L.",1.36
"basal_dicots","Piper arboreum Aubl.",1.01
"basal_dicots","Piper arieianum C.DC.",1.3
"basal_dicots","Piper auritum Kunth",9
"basal_dicots","Piper caninum Blume",21.0632
"basal_dicots","Piper capense L.f.",2.548
"basal_dicots","Piper capense L.f. var. brachyrhachis (C.H.Wright) Verdc.",4.1908
"basal_dicots","Piper carrilloanum C.DC.",0.04
"basal_dicots","Piper cordulatum C.DC.",3.12
"basal_dicots","Piper culebranum C.DC.",0.65
"basal_dicots","Piper darienense C.DC.",9.45
"basal_dicots","Piper diguetii C.DC.",1.7036
"basal_dicots","Piper dilatatum Rich.",0.1
"basal_dicots","Piper grande Vahl",0.18
"basal_dicots","Piper hispidum Sw.",0.1
"basal_dicots","Piper jacquemontianum Kunth",0.86
"basal_dicots","Piper marginatum Jacq.",0.2
"basal_dicots","Piper mestonii F.M.Bailey",1.3468
"basal_dicots","Piper mullesua Buch.-Ham. ex D.Don",2.0088
"basal_dicots","Piper nigrum L.",31.63
"basal_dicots","Piper peltatum L.",0.04
"basal_dicots","Piper phytolaccaefolium Opiz",6.23
"basal_dicots","Piper pseudofuligineum C.DC.",0.35
"basal_dicots","Piper reticulatum L.",5.2
"basal_dicots","Piper rothianum Bailey",1.2
"basal_dicots","Piper sancti-felicis Trel.",0.14
"basal_dicots","Piper tuberculatum Jacq.",1.06
"basal_dicots","Piper umbellatum var. subpeltatum (Willd.) C.DC.",0.073
"basal_dicots","Piper urostachyum Hemsl.",2.56
"basal_dicots","Polyalthia fragrans (Dalz.) Bedd.",3225.8
"basal_dicots","Polyalthia longifolia (Sonn.) Thwaites",1674
"basal_dicots","Polyalthia nitidissima (Dunal) Benth.",147
"basal_dicots","Polyalthia pendula Capuron ex G.E. Schatz & Le Thomas",129.2666667
"basal_dicots","Polyalthia simiarum (Buch.-Ham. ex Hook.f. & Thomson) Benth.",2486
"basal_dicots","Polyalthia sumatrana (Miq.) Kurz",820
"basal_dicots","Polyaulax sp.",720
"basal_dicots","Pothomorphe peltata (L.) Miq.",0.04
"basal_dicots","Pseudowintera colorata (Raoul) Dandy",9.7
"basal_dicots","Pseudoxandra polyphleba (Diels) R.E.Fr.",397
"basal_dicots","Pycnanthus angolensis (Welw.) Warb.",2000
"basal_dicots","Pycnanthus kombo (Baill.) Warb.",1818
"basal_dicots","Ravensara aromatica Sonn.",8333.3
"basal_dicots","Ravensara crassifolia (Baker) Danguy",1163.936
"basal_dicots","Rollinia jimenezii Saff.",160
"basal_dicots","Rollinia microsepala Standl.",40
"basal_dicots","Sageraea elliptica (A.DC.) Hook.f. & Thomson",487.8
"basal_dicots","Sarcandra glabra (Thunb.) Nakai",1.23
"basal_dicots","Sarcandra hainanensis (S.J.Pei) Swamy & I.W.Bailey",1.239
"basal_dicots","Sassafras albidum (Nutt.) Nees",74
"basal_dicots","Schisandra arisanensis Hayata",5.996
"basal_dicots","Schisandra bicolor W.C.Cheng",6.66
"basal_dicots","Schisandra chinensis (Turcz.) Baill.",6.878
"basal_dicots","Schisandra elongata Hook.f. & Thomson",12.9476
"basal_dicots","Schisandra glabra (Brickell) Rehder",6.818
"basal_dicots","Schisandra grandiflora (Wall.) Hook.f. & Thomson",4.643
"basal_dicots","Schisandra henryi C.B.Clarke",2.656
"basal_dicots","Schisandra lancifolia (Rehder & E.H.Wilson) A.C.Sm.",13.826
"basal_dicots","Schisandra propinqua (Wall.) Baill.",4.735
"basal_dicots","Schisandra repanda (Sieber & Zucc.) Radlk.",12.243
"basal_dicots","Schisandra sphaerandra Stapf",5.16
"basal_dicots","Siparuna andina (Tul.) A.DC.",10
"basal_dicots","Siparuna guianensis Aubl.",20
"basal_dicots","Sparattanthelium tarapotanum Meisn.",500
"basal_dicots","Tambourissa cordifolia Lorence",111.5012931
"basal_dicots","Tambourissa peltata Baker",154.2321302
"basal_dicots","Tambourissa quadrifida Sonn.",92.5174825
"basal_dicots","Tasmannia xerophila (Parment.) M.Gray",28.85
"basal_dicots","Tetrasynandra longipes (Benth.) Perkins",224
"basal_dicots","Toussaintia orientalis Verdc.",227.6
"basal_dicots","Trimenia moorei (Oliv.) Philipson",1.663
"basal_dicots","Trimenia neocaledonica Baker f.",5.715
"basal_dicots","Trimenia papuana Ridl.",4.359
"basal_dicots","Trimenia weinmanniifolia",1.558
"basal_dicots","Umbellularia californica (Hook. & Arn.) Nutt.",1801
"basal_dicots","Unonopsis perrottetii (A.DC.) R.E.Fr.",283.3
"basal_dicots","Unonopsis rufescens (Baill.) R.E.Fr.",50
"basal_dicots","Unonopsis stipitata Diels",646.7
"basal_dicots","Uvaria acuminata Oliv.",80.246
"basal_dicots","Uvaria chamae P.Beauv.",96.3948
"basal_dicots","Uvaria denhardtiana Engl. & Diels",205.84
"basal_dicots","Uvaria kirkii Hook.f.",42.24
"basal_dicots","Uvaria leptopoda (King) R.E.Fr.",280
"basal_dicots","Uvaria lucida Benth.",61.1996
"basal_dicots","Uvaria lucida Boj. ex Sweet subsp. lucida",70.8
"basal_dicots","Virola calophylla (Spruce) Warb.",1310
"basal_dicots","Virola guatemalensis Warb.",1962
"basal_dicots","Virola michelii Heckel",2160
"basal_dicots","Virola nobilis A.C.Sm.",2480
"basal_dicots","Virola sebifera Aubl.",701
"basal_dicots","Virola surinamensis (Rol.) Warb.",1838
"basal_dicots","Warburgia salutaris (Bertol.f.) Chiov.",171
"basal_dicots","Warburgia ugandensis Sprague",5780
"basal_dicots","Xylopia aromatica (Lam.) M.Martens",41.04
"basal_dicots","Xylopia bemarivensis Diels",174.608
"basal_dicots","Xylopia cuspidata Diels",165
"basal_dicots","Xylopia ligustrifolia Humb. & Bonpl. ex Dunal",75
"basal_dicots","Xylopia longipetala De Wild. & T.Durand",219.057
"basal_dicots","Xylopia macrantha Triana & Planch.",150.9
"basal_dicots","Xylopia malayana Hook.f. & Thomson",110
"basal_dicots","Xylopia richardii Boiv. ex Baill.",97.5971993
"basal_dicots","Xylopia sp.",740
"basal_dicots","Xymalos monospora (Harv.) Baill.",167
"monocots","Acanthephippium sylhetense Lindl.",7e-04
"monocots","Acanthocarpus preissii Lehm.",53.584
"monocots","Acorus americanus (Raf.) Raf.",3.8072
"monocots","Acorus calamus L.",3.72
"monocots","Acrachne racemosa (B.Heyne ex Roem. & Schult.) Ohwi",0.1962
"monocots","Acroceras amplectens Stapf",4.088
"monocots","Acroceras calcicola A.Camus",0.6136
"monocots","Acroceras zizanioides (Kunth) Dandy",3.256
"monocots","Acrocomia aculeata (Jacq.) Lodd. ex M.Martens",9297.7898551
"monocots","Adonidia merrillii (Becc.) Becc.",3010
"monocots","Aechmea allenii L.B.Sm.",0.5872
"monocots","Aechmea anomala L.B.Sm.",0.53632
