"text_entry","spec","spore_type","measure_orig","Dim1","Dim2","Dim3"
"Teliospores subgloboid to ovoid, rounded above with a flat hyaline papilla, 28-40 x 20-28 µm,","Caeomurus colchici_448302_56733","Teliospores","28-40 x 20-28",34,24,NA
"Teliospores obovoid to ellipsoid, 28-38.4 x 19.2-25.6 µm;","Caeomurus geranii_448406_13716","Teliospores","28-38.4 x 19.2-25.6",33.2,22.4,NA
"Teliospores subgloboid to ovoid, 22-42 x 13-26 µm;","Caeomurus geranii_448406_14238","Teliospores","22-42 x 13-26",32,19.5,NA
"Teliospores oblong-clavate, apex rounded or truncate, not or slightly constricted, base attenuated, 10-18 x 25-40 µm;","Caeomurus kuehnii_446348_13777","Teliospores","10-18 x 25-40",14,32.5,NA
"Teliospores (cleared) (17.5-)21.5-31(-33) µm","Caeomurus lapponicus_446932_13005","Teliospores",") (17.5-)21.5-31(-33)",26.25,NA,NA
"Teliospores +- globose or transverse-ellipsoid, umbonate above, 19-25 x 22-26 µm;","Caeomurus mucunae_448804_14260","Teliospores","19-25 x 22-26",22,24,NA
"Teliospores spheroidal to ellipsoidal, papillate over theapical pore, 18-24 x 16-20 µm;","Caeomurus striatus_448054_13893","Teliospores","18-24 x 16-20",21,18,NA
"Teliospores ellipsoid, ovoid, oblong, 22-30 x 14-18 µm,","Caeomurus veratri_446334_56735","Teliospores","22-30 x 14-18",26,16,NA
"Teliospores usually mostly two-celled, sometimes mesospores numerous or all mesospores, clavate to cylindrical, often angular and irregular, 3-65 x 18-28 µm;","Dicaeoma allii_447258_13886","Teliospores","3-65 x 18-28",34,23,NA
"Teliospores ellipsoid to oblong or clavate, rounded at both ends or sometimes attenuated downwards, not or slightly constricted at septum, base roundish or narrowed, 16-26 x (25-)31-50 µm;","Dicaeoma alpinum_449254_49766","Teliospores","16-26 x (25-)31-50",21,31,NA
"teliospores (40-) 43-53 (-57) x (23-) 25-30 (-32) µm,","Dicaeoma appendiculatum_447456_17600","teliospores","(40-) 43-53 (-57) x (23-) 25-30 (-32)",48,27.5,NA
"Teliospores ellipsoidal, sometimes with 3 or 4 cells, slightly constricted at septa, 38-42 x 14-16 µm;","Dicaeoma arachidis_447290_13887","Teliospores","38-42 x 14-16",40,15,NA
"Teliospores ellipsoid, ends round to obtuse, constricted at septum, 25-40 x 15-23 µm;","Dicaeoma araliae_447299_13516","Teliospores","25-40 x 15-23",32.5,19,NA
"Teliospores ellipsoid, mainly rounded at both ends occasionally tapering to base, slightly constricted at septum, 34-67 x 18-28.5 µm;","Dicaeoma areolatum_449005_13572","Teliospores","34-67 x 18-28.5",50.5,23.25,NA
"Teliospores (25.5-)27-43(-45) x 18-27(-29.5) µm,","Dicaeoma arnicale_448422_13297","Teliospores","(25.5-)27-43(-45) x 18-27(-29.5)",35,27,NA
"Teliospores narrowly to broadly ellipsoid with rounded ends, not or slightly constricted at septum, 29-43.2(-51.5) x 19.2-27.2 µm;","Dicaeoma balsamorhizae_449663_13271","Teliospores","29-43.2(-51.5) x 19.2-27.2",43.2,23.2,NA
"Teliospores chocolate brown, amphigenous, petiolicolous, caulicolous, pulverulent, scattered, becoming confluent. Teliospores ellipsoid, sometimes tapering to base, apex obtuse, slightly or not constricted at septum, (23.5-)25-58 x 12-31(-33) µm;","Dicaeoma blyttianum_446169_13566","Teliospores","(23.5-)25-58 x 12-31(-33)",25,31,NA
"Teliospores ellipsoid, sometimes tapering to base, apex obtuse, slightly or not constricted at septum, (23.5-)25-58 x 12-31(-33) µm;","Dicaeoma blyttianum_446169_13566","Teliospores","(23.5-)25-58 x 12-31(-33)",25,31,NA
"Teliospores ellipsoid, slightly or not constricted at septum, lower cell occasionally slightly tapered to base, 25-50(-55) x 15-24 µm;","Dicaeoma calthae_446682_13573","Teliospores","25-50(-55) x 15-24",50,19.5,NA
"Teliospores ellipsoid to oblong, moderately constricted at septum, apex round to obtuse, base slightly tapered, 27-43 x 13-20 µm;","Dicaeoma campanulae_446675_13514","Teliospores","27-43 x 13-20",35,16.5,NA
"Teliospores cinnamon brown, clavate or fusiform, constricted at septum, attenuated below, 16-21 x 43-61 µm","Dicaeoma conclusum_448175_54265","Teliospores","16-21 x 43-61",18.5,52,NA
"Teliospores (19-)20-43((-45)) x 12-22.5((-24)) µm,","Dicaeoma conglomeratum_447768_13294","Teliospores","(19-)20-43((-45)) x 12-22.5((-24))",31.5,22.5,NA
"Teliospores ellipsoid, slightly constricted at septum, apex obtuse to acute, base often narrowing to pedicel, (30-)35-56 x 16-24 µm;","Dicaeoma dayi_449024_13453","Teliospores","(30-)35-56 x 16-24",35,20,NA
"teliospores (28-)30-37(-40) x (21-)23-26(-27) µm,","Dicaeoma destruens_449487_31934","teliospores","(28-)30-37(-40) x (21-)23-26(-27)",33.5,24.5,NA
"Teliospores ellipsoid to clavate, apex acute to obtuse; slightly constricted at septum, tapering slightly toward pedicel, (30-)35-65(-70) x 15-26(-30) µm;","Dicaeoma distichlydis_445920_13454","Teliospores","(30-)35-65(-70) x 15-26(-30)",50,26,NA
"Teliospores (24-)26-48(-52) x 10-19 µm,","Dicaeoma fergussonii_446440_13243","Teliospores","(24-)26-48(-52) x 10-19",37,14.5,NA
"Teliospores broadly ellipsoid, rounded at both ends, not or only slightly constricted at septum, 25-46 x 21-30 µm;","Dicaeoma gentianae_448405_13679","Teliospores","25-46 x 21-30",35.5,25.5,NA
"Teliospores light chestnut-brown, darker at the apex, elongated, ellipsoid or clavate, apex truncate, subacute to rounded, base attenuate, slightly constricted at the septum, 43-80 x 20-23,5 µm;","Dicaeoma granulare_447075_14231","Teliospores","43-80 x 20-23,5",61.5,21.75,NA
"Teliospores cylindric-clavate, apex round or truncate, tapering to base, not constricted at septum, 31-63(-65) x 8.0-15.5 µm;","Dicaeoma haleniae_446848_13680","Teliospores","31-63(-65) x 8.0-15.5",63,11.75,NA
"Teliospores ellipsoid or with base slightly tapered, slightly constricted at septum, 33-64(-70) x (17.5-)19-35 µm;","Dicaeoma helianthii_447029_13277","Teliospores","33-64(-70) x (17.5-)19-35",64,19,NA
"Teliospores cylindrical to clavate, slightly constricted at septum, rounded above, rounded or attenuated below, 40-60 x 18-30 µm;","Dicaeoma helianthii_447029_13890","Teliospores","40-60 x 18-30",50,24,NA
"Teliospores usually germinating freely at maturity, (30-)33-55(-64) x (14-)15.5-26(-28) µm,","Dicaeoma holboellii_445946_13139","Teliospores","(30-)33-55(-64) x (14-)15.5-26(-28)",44,20.75,NA
"Teliospores oblong or oblong-clavate, 40-45 x 19-23 µm,","Dicaeoma hysteriiforme_446241_56728","Teliospores","40-45 x 19-23",42.5,21,NA
"Teliospores clavate-cylindric, truncate, rounded or acute above, slightly constricted at the septum, base somewhat attenuate, 3-50 x 13-21 µm;","Dicaeoma iridis_449097_14253","Teliospores","3-50 x 13-21",26.5,17,NA
"Teliospores ellipsoid, not constricted at septum, ends obtuse, 33.5-49.5 x 20.8-27.2 µm;","Dicaeoma longipes_448546_13279","Teliospores","33.5-49.5 x 20.8-27.2",41.5,24,NA
"Teliospores broadly ellipsoid, rounded at both ends conspicuously constricted at septum, 22-42(-44) x 18-30 µm;","Dicaeoma mirabilissimum_449491_13673","Teliospores","22-42(-44) x 18-30",42,24,NA
"teliospores and few uredospores. Teliospores ellipsoid or oblong ellipsoid, rounded at both ends, constricted at septum, the wall of 4 layers, (1) the innermost, thin and dark coloured, (2) a thick brown warted layer, (3) a hyaline layer, (4) an outer very fine cuticularized layer; with 2 equatorial pores in each cell, 28-36 x 18-25 µm;","Dicaeoma mirabilissimum_449491_14077","teliospores","28-36 x 18-25",32,21.5,NA
"Teliospores ellipsoid or oblong ellipsoid, rounded at both ends, constricted at septum, the wall of 4 layers, (1) the innermost, thin and dark coloured, (2) a thick brown warted layer, (3) a hyaline layer, (4) an outer very fine cuticularized layer; with 2 equatorial pores in each cell, 28-36 x 18-25 µm;","Dicaeoma mirabilissimum_449491_14077","Teliospores","28-36 x 18-25",32,21.5,NA
"Teliospores clavate, obovoid-clavate or oblong, 27-46 (-52) x 16-22 (-26) µm;","Dicaeoma oahuense_447071_14803","Teliospores","27-46 (-52) x 16-22 (-26)",46,22,NA
"Teliospores ellipsoid, ends round, slightly constricted at septum, 25-36 x 14-24 µm;","Dicaeoma physalidis_447040_13433","Teliospores","25-36 x 14-24",30.5,19,NA
"Teliospores ellipsoid, ends round or occasionally tapering slightly to base, not or slightly constricted at septum, 35-62(-65) x 17-34 µm;","Dicaeoma podophylli_447755_13674","Teliospores","35-62(-65) x 17-34",62,25.5,NA
"Teliospores appearing in the uredia, ellipsoidal to cylindrical, rounded above, slightly constricted at septum, 30-48 x 19-22 µm,","Dicaeoma psidii_448317_13891","Teliospores","30-48 x 19-22",39,20.5,NA
"Teliospores elliptical, dark brown, slightly constricted at septum, apex round, base obtuse or slightly narrowing, 21-37.5 x 17.5-25 µm;","Dicaeoma schedonnardi_449755_13409","Teliospores","21-37.5 x 17.5-25",29.25,21.25,NA
"Teliospores broadly ellipsoid to oblong, 27-45 x 15-24 µm,","Dicaeoma schedonnardi_449755_14263","Teliospores","27-45 x 15-24",36,19.5,NA
"Teliospores ellipsoid, ends obtuse to slightly tapered, not or slightly constricted at septum, (30.6)38-61 x (18.5-)23-32.1 µm;","Dicaeoma sherardianum_447506_13410","Teliospores","(30.6)38-61 x (18.5-)23-32.1",38,23,NA
"Teliospores ellipsoid, ends usually tapered, constricted at septum, 28-57 x 8-17.5 µm;","Dicaeoma silphii_447547_13280","Teliospores","28-57 x 8-17.5",42.5,12.75,NA
"Teliospores 2-celled, occasionally 3-celled, linear-oblong to clavate, (35-)40-65(-72) x (10-)12-18 µm,","Dicaeoma spegazzinii_447796_15340","Teliospores","(35-)40-65(-72) x (10-)12-18",52.5,12,NA
"Teliospores ellipsoid or oblong, 37-47 x 19-23 µm,","Dicaeoma stachydis_448750_56731","Teliospores","37-47 x 19-23",42,21,NA
"teliospores two-celled, occasionally one-celled, broadly ellipsoid, not or hardly constricted at septum, rarely more conspicuously constricted, basally or more rarely laterally stalked by hyaline, thin-walled, up to 180 µm","Dicaeoma stobeae_449014_43817","teliospores","180",180,NA,NA
"Teliospores broadly ellipsoid, barely or not constricted at septum, 32-43 x 21-26(-28) µm;","Dicaeoma treleaseanum_446342_13570","Teliospores","32-43 x 21-26(-28)",37.5,26,NA
"Teliospores broadly ellipsoid, (30-)35-50 x 21-30(-32) µm,","Dicaeoma tumidipes_447100_13437","Teliospores","(30-)35-50 x 21-30(-32)",35,30,NA
"Teliospores clavate to cylindric, slightly or not constricted at septum, apex round to acute, lower cell usually tapering to base, (28-)31-84(-95) x 11-19 µm;","Dicaeoma ustale_446606_13571","Teliospores","(28-)31-84(-95) x 11-19",57.5,15,NA
"Teliospores ellipsoid to broadly ellipsoid or obovoid, rounded at both ends, not or slightly constricted at the septum, 19-26 x (23-)25-36 µm","Dicaeoma variabile_446676_52406","Teliospores","19-26 x (23-)25-36",22.5,25,NA
"Teliospores clavate or ellipsoid, constricted at septa, upper cell rounded, lower cell elliptical; wall 1.5-2 µm","Dicaeoma virgatum_446896_33371","Teliospores","1.5-2",1.75,NA,NA
"Teliospores twocelled by transverse septum, cylindrical to ellipsoid, not or very slightly constricted at the septum, 30-39 x 20-27 µm","Dicaeoma winteri_448844_44905","Teliospores","30-39 x 20-27",34.5,23.5,NA
"teliospores sometimes in uredinia, (30) 36-40 µm","Dicheirinia panamensis_454542_60494","teliospores","(30) 36-40",36,NA,NA
"teliospores subglobose to broadly ellipsoid, vertically septate, basally and apically flattened, not or only slightly constricted at the septum, (27)29-37(39)x(29)32-35(39) µm","Edythea soratensis_454550_60451","teliospores","(27)29-37(39)x(29)32-35(39)",33,33.5,NA
"teliospores (30-)35-40(-42) x (20-)24-26(-28) µm,","Prospodium bicristatum_454801_42986","teliospores","(30-)35-40(-42) x (20-)24-26(-28)",37.5,25,NA
"teliospores ovoid, broadly ellipsoid to subglobose, 30.5-38.5x 26.5-32 µm","Uromyces cearensis_454897_60453","teliospores","30.5-38.5x 26.5-32",34.5,29.25,NA
"teliospores two celled, in frontal view obovoidal, in lateral view oblong elliptical, wall golden yellow, cell content whitish to pale yellow and granulose, when both cells in view (39)42-50(55)x(17)18-22(23)  (mean 46x20 µm),","Diorchidium baphiae_456468_60473","teliospores","46x20",46,20,NA
"teliospores and up to 60-µm","Phakopsora capriviensis_456529_60475","teliospores","60-",60,NA,NA
"teliospores cylindrical, ellipsoidal or sometimes nearly globose, golden yellow, cells of apical layer (20)22.5-30(32)x(9)10-13(15) µm","Phakopsora capriviensis_456529_60475","teliospores","(20)22.5-30(32)x(9)10-13(15)",26.25,11.5,NA
"Teliospores clavate, sessile, in clusters on basal cells, 22-51 x 4-11 µm;","Olivea tectonae_456144_14337","Teliospores","22-51 x 4-11",36.5,7.5,NA
"Teliospores clavate, sessile, in clusters on basal cells, 22-51 x 4-11 µm;","Olivea neotectonae_457747_14337","Teliospores","22-51 x 4-11",36.5,7.5,NA
"teliospores (Figs. 1, 2, 3 and 4). Aecia in gregibus parvis, dense constipatis, foliicola, amphigena sed praecipue abaxialia, bullata, irregulariter cupulatoaperta, sine peridio, copia sporarum pallide cinnamomea; aeciosporae ellipsoideae, late ellipsoideae, subglobosae, saepe subangulariter obovoideae, nonnunquam apicaliter paulum elongatae et subapiculatae, 21-28(32)x(16)18-23 µm","Puccinia antennata_459392_60481","teliospores","21-28(32)x(16)18-23",28,18,NA
"teliospores mostly broadly ellipsoidal, rarely ellipsoidal or subglobose, rounded at both ends, not or hardly constricted at the septum or even slightly inflated, 34-44(48)x26-32 µm","Puccinia antennata_459392_60483","teliospores","34-44(48)x26-32",44,29,NA
"teliospores broadly ellipsoidal, more rarely ellipsoidal, rarely to subglobose, rounded at both ends, not or very slightly constricted at septum, (34.5)36-44x26-32 µm","Puccinia arbor-miraculensis_459393_60485","teliospores","(34.5)36-44x26-32",36,29,NA
"teliospores broadly ellipsoidal, more rarely ellipsoidal or subglobose, rounded at both ends, at septum not or very slightly constricted, without apiculus 37-52(55)x(24)26-33(35) µm","Puccinia hieroglyphica_459394_60488","teliospores","37-52(55)x(24)26-33(35)",52,29.5,NA
"teliospores (Figs. 29, 30 and 31). ≡ P. cephalandrae auct., non Thümen. Gjærum, H.B. 1986. Mycotaxon 27: 520 =?Uredo zehneriae Thümen 1877 Aecia foliicola, abaxialia, in gregibus parvis, peridio albo praedita; aeciosporae subglobosae vel obovoideae, 21-25(32)x17-23 µm,","Puccinia rhytidioderma_459395_60489","teliospores","21-25(32)x17-23",25,20,NA
"teliospores ellipsoidal to broadly ellipsoidal, slightly or hardly constricted at the septum, rounded at both ends, apically or subapically most often with a stout, broadly conical, 3-7 µm","Puccinia rhytidioderma_459395_60490","teliospores","3-7",5,NA,NA
"teliospores (115-to 175-µm","Ravenelia acaciae-nigrescentis_459402_60478","teliospores","175-",175,NA,NA
"teliospores in 2-3 layers, single spores broadly ellipsoidal to irregularly cylindrical, pale yellowish brown, slightly darker at apex, wall basally and laterally 1.5-µm","Phakopsora brideliae_459125_60509","teliospores","1.5-",1.5,NA,NA
"Teliospores usually germinating freely at maturity, (30-)33-55(-64) x (14-)15.5-26(-28) µm,","Aecidium holboellii_462287_13139","Teliospores","(30-)33-55(-64) x (14-)15.5-26(-28)",44,20.75,NA
"Teliospores usually germinating freely at maturity, (30-)33-55(-64) x (14-)15.5-26(-28) µm,","Puccinia holboellii_462288_13139","Teliospores","(30-)33-55(-64) x (14-)15.5-26(-28)",44,20.75,NA
"Teliospores usually germinating freely at maturity, (30-)33-55(-64) x (14-)15.5-26(-28) µm,","Leptopuccinia holboellii_462289_13139","Teliospores","(30-)33-55(-64) x (14-)15.5-26(-28)",44,20.75,NA
"Teliospores ellipsoidal, obtuse above, usually with slightly projecting caps, usually slightly constricted at septum, 22-30 x 17-24 µm;","Dicaeoma menthae_468129_13774","Teliospores","22-30 x 17-24",26,20.5,NA
"Teliospores ovoid or oblong to ellipsoid, rounded above and below, hardly constricted, 15-24 x 20-35 µm;","Dicaeoma ribis_467664_49768","Teliospores","15-24 x 20-35",19.5,27.5,NA
"Teliospores ellipsoid or oblong, cinnamon brown to dark brown, 16-26 x 39-64 µm","Puccinia extensicola var. linosyridis-caricis_466753_54266","Teliospores","16-26 x 39-64",21,51.5,NA
"Teliospores chocolate brown, amphigenous, petiolicolous, caulicolous, pulverulent, scattered, becoming confluent. Teliospores ellipsoid, sometimes tapering to base, apex obtuse, slightly or not constricted at septum, (23.5-)25-58 x 12-31(-33) µm;","Micropuccinia blyttiana_464467_13566","Teliospores","(23.5-)25-58 x 12-31(-33)",25,31,NA
"Teliospores ellipsoid, sometimes tapering to base, apex obtuse, slightly or not constricted at septum, (23.5-)25-58 x 12-31(-33) µm;","Micropuccinia blyttiana_464467_13566","Teliospores","(23.5-)25-58 x 12-31(-33)",25,31,NA
"teliospores broadly ellipsoid, more rarely ellipsoid or obovoid, rounded at apex and towards hilum, sometimes tapering towards hilum, not or hardly constricted at septum, 39-52 x 24-30 µm","Puccinia lycii var. bizonata_473705_66539","teliospores","39-52 x 24-30",45.5,27,NA
"teliospores clavate, ellipsoid, oblong or subfusiform, (32)36-70 x 16-27 µm","Puccinia montis-venenosi_473706_66536","teliospores","(32)36-70 x 16-27",36,21.5,NA
"teliospores ellipsoid to subclavate, rarely broadly ellipsoid, slightly constricted at septum, 44-70 x 21-27 (mean 56.1 x 23.9 µm),","Puccinia naufraga_473707_66529","teliospores","56.1 x 23.9",56.1,23.9,NA
"teliospores ovoid, broadly ellipsoid or subglobose, often slightly asymmetrical, 37-47 x 32-41 µm","Uromyces eclipsis_473764_66541","teliospores","37-47 x 32-41",42,36.5,NA
"Teliospores two-celled or one-celled; two-celled spores subclavate, clavate or ellipsoid, moderately to pronouncedly constricted at the septum, (35)37-55(57) x (15)18-23 µm","Puccinia luzuriagae-polyphyllae_479617_60403","Teliospores","(35)37-55(57) x (15)18-23",46,18,NA
"Teliospores in uredinia, 27.5-33.5 x 22-27 µm","Uromyces novissimus var. cissampeli_550659_59777","Teliospores","27.5-33.5 x 22-27",30.5,24.5,NA
"Teliospores oblong to clavate; wall 1.5-2 µm","Puccinia dichantii_478697_38620","Teliospores","1.5-2",1.75,NA,NA
"Teliospores (32-)37-40 x 25-28 µm,","Puccinia bipolaris_477015_49189","Teliospores","(32-)37-40 x 25-28",37,26.5,NA
"Teliospores (30-)35-38(-40) x (22-)25-28 µm,","Puccinia calida_477016_49191","Teliospores","(30-)35-38(-40) x (22-)25-28",36.5,25,NA
"Teliospores 39-45 x 29-35 µm,","Puccinia douradae_477017_49193","Teliospores","39-45 x 29-35",42,32,NA
"Teliospores 46-64 x 24-28 µm,","Puccinia macumba_477018_49195","Teliospores","46-64 x 24-28",55,26,NA
"Teliospores 31-37 x 22-27 µm,","Puccinia manuelensis_477019_49197","Teliospores","31-37 x 22-27",34,24.5,NA
"Teliospores 43-44 x 29-30 µm,","Puccinia pipta_477020_49199","Teliospores","43-44 x 29-30",43.5,29.5,NA
"Teliospores pedicellate, ellipsoid, 47.5-55 x 31.25-37.5 µm,","Prospodium macfadyenae_477398_49518","Teliospores","47.5-55 x 31.25-37.5",51.25,34.375,NA
"teliospores [1 = 44.6%, 2 = 39.2%, 3 = 11.2%, 4 = 4.2%, 5 = 0.8%; n/2 = 950] and a continuous layer of peripheral sterile cells; 16-25 x 14.5-22.5 µm","Urocystis bolboschoeni_477516_49761","teliospores","; 16-25 x 14.5-22.5",20.5,18.5,NA
"Teliospores formations from pseudohyphae cells started on PDA after 3 days. After true hyphae formations teliospores appear on it. Teliospores are spherical, 8.5-11 µm","Glaciozyma litoralis_565809_60238","Teliospores","8.5-11",9.75,NA,NA
"teliospores appear on it. Teliospores are spherical, 8.5-11 µm","Glaciozyma litoralis_565809_60238","teliospores","8.5-11",9.75,NA,NA
"Teliospores are spherical, 8.5-11 µm","Glaciozyma litoralis_565809_60238","Teliospores","8.5-11",9.75,NA,NA
"Teliospores developing in the uredinia, yellowish gold, pulverulent, three-celled, sometimes four-celled; cells united laterally by septa, each subtended by an apical cell, on a common pedicel, 21-27 x 18-21 µm;","Caetea itatiaiaensis_478198_50847","Teliospores","21-27 x 18-21",24,19.5,NA
"Teliospores composed of 2-4 linearly arranged cells formed on a short pedicel; each telial cell ovoid, ellipsoid or broadly ellipsoid, and 21-34 x 10-17 µm","Kuehneola warburgiana_478199_58156","Teliospores","21-34 x 10-17",27.5,13.5,NA
"Teliospores clavate, ellipsoid to fusiform, (25-)29-43(-50) x (9-)11-19(-20) µm","Puccinia chunjii_478593_52031","Teliospores","(25-)29-43(-50) x (9-)11-19(-20)",36,15,NA
"Teliospores pale violaceous or almost hyaline, rarely violaceous in transmitted light, quite regular in shape, but variable in size, globose, subglobose, broadly ellipsoid, rarely ovoid or pyriform, (5.0-)6.0-8.8(-10.5)-(4.4-)5.1-8.8(-9.8) µm;","Microbotryum heliospermae_478678_52131","Teliospores","(5.0-)6.0-8.8(-10.5)-(4.4-)5.1-8.8(-9.8)",7.45,NA,NA
"Teliospores generally 50-65-20-25 µm,","Puccinia reynoldsii_478679_52133","Teliospores","50-65-20-25",42.5,NA,NA
"Teliospores spherical, 8-11 µm","Leucosporidium drummii_478702_52192","Teliospores","8-11",9.5,NA,NA
"teliospores obvoid to clavate, constrict at septa (Figs. 5B, 5C), (22) 27-56 (61)-11-20 (22) µm;","Puccinia coronati-agrostidis_480503_52334","teliospores",")(22) 27-56 (61)-11-20 (22)",61,NA,NA
"teliospores obvoid to short clavate 31-72 (83)- 10-21 µm,","Puccinia coronati-calamagrostidis_480504_52336","teliospores","31-72 (83)- 10-21",83,NA,NA
"teliospores obvoid to clavate, 35-55 (57)-(10) 12-19 (21) µm,","Puccinia coronati-hordei_480505_52338","teliospores","35-55 (57)-(10) 12-19 (21)",10,NA,NA
"teliospores clavate, some with very long lower cells, severely constrict at septum (Fig. 5N), 36-58-12-18 µm;","Puccinia coronati-japonica_480506_52340","teliospores",")36-58-12-18",35,NA,NA
"Teliospores abaxial, densely aggregated within epidermal cells on diffuse pale reddish brown discolored spots. Teliospores apparently one-celled, ovoid, subglobose, oblong, triangular or irregular, 9-18-(10)12-30(32) µm","Hyalopsora nodispora_480801_52805","Teliospores","9-18-(10)12-30(32)",11,NA,NA
"Teliospores apparently one-celled, ovoid, subglobose, oblong, triangular or irregular, 9-18-(10)12-30(32) µm","Hyalopsora nodispora_480801_52805","Teliospores","9-18-(10)12-30(32)",11,NA,NA
"teliospores with a smaller length/width ratio. Type: On Artemisia chamaemelifolia Vill.: Iran, Tehran Prov., Central Alborz, Haraz road, Hareh village, 3 km after village, alt. 2000-2200 m, II+III, 5 August 1993, leg. J.Fatehi, M.Abbasi & Z.Ghanbari (holotype, IRAN 14660 F). Spermogonia and aecia not observed. Uredinia epiphyllous and caulicolous, yellowish brown, round to oval-oblong, semi-compact; urediniospores 27.5-32.5(-37.5) x (20-)22.5-25(-27.5) µm,","Puccinia artemisiae-chamaemelifoliae_481736_58675","teliospores","27.5-32.5(-37.5) x (20-)22.5-25(-27.5)",32.5,23.75,NA
"teliospores (37.5-)40-47.5(-50) x (22.5-)25-30 µm,","Puccinia artemisiae-chamaemelifoliae_481736_58675","teliospores","(37.5-)40-47.5(-50) x (22.5-)25-30",43.75,25,NA
"teliospores (30-)32.5-40 (-42.5) x 22.5-27.5 µm,","Puccinia crepidis-asadbarensis_481738_58676","teliospores","(30-)32.5-40 (-42.5) x 22.5-27.5",36.25,25,NA
"teliospores (35-)37.5-45(-52.5) x 22.5-27.5 µm,","Puccinia jaceae var. elbursensis_481739_58679","teliospores","(35-)37.5-45(-52.5) x 22.5-27.5",41.25,25,NA
"teliospores 34-40 x 21-26 µm,","Puccinia punctiformis var. karajensis_481740_58680","teliospores","34-40 x 21-26",37,23.5,NA
"Teliospores are intermingled with sterile cells, 9-31 µm","Salmacisia buchloeana_565505_25822","Teliospores","9-31",20,NA,NA
"Teliospores of the uppermost layer ellipsoid to oblong, angular, 9-24 x 8-17 µm;","Phakopsora montana_507749_55489","Teliospores","9-24 x 8-17",16.5,12.5,NA
"Teliospores of the second layer and below ellipsoid to oblong, angular, 9-24 x 6-17 µm;","Phakopsora montana_507749_55489","Teliospores","9-24 x 6-17",16.5,11.5,NA
"Teliospores ellipsoid, clavate or almost cylindrical, 37-69.5 x 14-21.5 µm","Puccinia kourouensis_507787_55511","Teliospores","37-69.5 x 14-21.5",53.25,17.75,NA
"teliospores ellipsoid to broadly ellipsoid, 23-30 x 14-17 µm","Puccinia parianicola_507788_55512","teliospores","23-30 x 14-17",26.5,15.5,NA
"Teliospores pale violaceous or violaceous, quite regular in shape and size, globose, subglobose, ellipsoidal, or rarely ovoid, 5.2-8.8(-9.7) x (4.5-)5.0-7.8(-9.0) µm;","Microbotryum silenes-saxifragae_508345_56016","Teliospores","5.2-8.8(-9.7) x (4.5-)5.0-7.8(-9.0)",8.8,6.4,NA
"Teliospores 26-31 x 21.5-27 µm","Uromyces aquiriensis_508495_56197","Teliospores","26-31 x 21.5-27",28.5,24.25,NA
"Teliospores 27.5-36.5 x 19.5-25.5 µm","Uromyces cucumivorus_508496_56198","Teliospores","27.5-36.5 x 19.5-25.5",32,22.5,NA
"Teliospores 38-51 x 29-33 µm","Uromyces ernesti-ulei_508497_56199","Teliospores","38-51 x 29-33",44.5,31,NA
"Teliospores germinating on maturity, 33-50 x17.5-23.5 µm","Uromyces infarctus_508498_56200","Teliospores","33-50 x17.5-23.5",41.5,20.5,NA
"Teliospores germinating on maturity, 22.5-32 x 15.5-22 µm","Uromyces naucinus_508499_56201","Teliospores","22.5-32 x 15.5-22",27.25,18.75,NA
"Teliospores in uredinia, 27.5-33.5 x 22-27 µm","Uromyces novissimus var. cissampelidis_508500_59777","Teliospores","27.5-33.5 x 22-27",30.5,24.5,NA
"Teliospores 24.5-32 x 16.5-21.5 µm","Uromyces novissimus var. pentastriatus_508501_59778","Teliospores","24.5-32 x 16.5-21.5",28.25,19,NA
"Teliospores 27-33.5 x 21-26 µm","Uromyces novissimus var. hellerianus_508502_59779","Teliospores","27-33.5 x 21-26",30.25,23.5,NA
"Teliospores 20-30 x 14-19.5 µm","Uromyces saulensis_508503_56202","Teliospores","20-30 x 14-19.5",25,16.75,NA
"Teliospores germinating on maturity, 18-21 x 16.5-20.5 µm","Uromyces aimeae_508504_56203","Teliospores","18-21 x 16.5-20.5",19.5,18.5,NA
"Teliospores germinating on maturity, 18.5-22 µm","Uromyces superstomatalis_508505_56204","Teliospores","18.5-22",20.25,NA,NA
"teliospores laterally adherent in the epidermal cells, sessile, 11~21µm","Thekopsora ostryae_510564_57730","teliospores","11~21",NA,NA,NA
"teliospores and urediniospores. Type: Turkey, Adıyaman Province, 10-12 km between Adıyaman and Celikhan, 1500-1600 m, on Myosotis sp. (Boraginaceae), 6 June 2012, Zeliha Bahcecioglu 3888 (Holotype, INU). Pycnia and aecia not seen. Uredinia and telia often mixed together, hypophyllous, covered by epidermis, small, scattered, brown. Urediniospores 14-16 x 13-16 µm","Uromyces myosotidis_512467_66715","teliospores","14-16 x 13-16",15,14.5,NA
"Teliospores 14-22 x 12-18 µm,","Uromyces myosotidis_512467_66715","Teliospores","14-22 x 12-18",18,15,NA
"teliospores in columns, in 3-4(5) layers, cubical to oblong-ellipsoid, 6-10 x 13-18 µm,","Phakopsora crucis-filii_512611_59797","teliospores","6-10 x 13-18",8,15.5,NA
"Teliospores 1-celled, oblong-ellipsoidal, (23-) 25-29 (-31) x (15-) 16-18 (-20) µm,","Uromyces bahiensis_512734_59900","Teliospores","(23-) 25-29 (-31) x (15-) 16-18 (-20)",27,17,NA
