"text_entry","spec","spore_type","measure_orig","Dim1","Dim2","Dim3"
"teliospores 2-celled, brownish orange, 38-51.5 x 18.5-25 µm,","Tremella sabinae_144406_37303","teliospores","38-51.5 x 18.5-25",44.75,21.75,NA
"Teliospores oblong to ellipsoidal, rounded and thickened at the apex, scarcely constricted, finely verruculose, chestnut brown, 35-57 x 20-25 µm;","Puccinia chrysanthemi_119002_14000","Teliospores","35-57 x 20-25",46,22.5,NA
"teliospores and has been recorded on C. parthenium; P. pyrethri Rabenh. (= P. seriata Syd.; = P. proximella Syd. & P. Syd.) has small urediospores (20-32 x 16-24 µm)","Puccinia chrysanthemi_119002_14000","teliospores","(20-32 x 16-24",26,20,NA
"teliospores (38-54 x 24-32 µm);","Puccinia chrysanthemi_119002_14000","teliospores","(38-54 x 24-32",46,28,NA
"teliospores with pedicel up to 120 µm","Puccinia chrysanthemi_119002_14000","teliospores","120",120,NA,NA
"teliospores with a long pedicel (100 µm","Puccinia chrysanthemi_119002_14000","teliospores","(100",100,NA,NA
"Teliospores (24-)26-48(-52) x 10-19 µm,","Puccinia fergussonii_144815_13243","Teliospores","(24-)26-48(-52) x 10-19",37,14.5,NA
"teliospores 2-celled, brownish orange, 38-51.5 x 18.5-25 µm,","Gymnosporangium sabinae_117382_37303","teliospores","38-51.5 x 18.5-25",44.75,21.75,NA
"Teliospores oblong, 10-15 x 26-32 µm,","Uromyces dolicholi_145061_14237","Teliospores","10-15 x 26-32",12.5,29,NA
"Teliospores ellipsoid, 20-23 x 25-29 µm,","Uromyces caryophyllinus_117434_14005","Teliospores","20-23 x 25-29",21.5,27,NA
"teliospores with pedicels up to 80 µm","Uromyces caryophyllinus_117434_14005","teliospores","80",80,NA,NA
"teliospores (21-25 x 16-19 µm).","Uromyces caryophyllinus_117434_14005","teliospores","(21-25 x 16-19",23,17.5,NA
"Teliospores ellipsoid, 36-44 x 24-30 µm,slightly","Puccinia carthami_123949_13999","Teliospores","36-44 x 24-30",40,27,NA
"Teliospores narrowly ellipsoid to ellipsoid-turbinate, often rather distorted because of the prominent pores, 32-50 x 22-30 µm;","Kunkelia nitens_145553_14026","Teliospores","32-50 x 22-30",41,26,NA
"Teliospores ellipsoid to broadly ellipsoid or obovoid, finely verrucose, rounded at both ends, not or slightly constricted at the septum, pale yellow to chestnut brown, 20-28 x 26-38 µm,","Uredo punctiformis_145405_52407","Teliospores","20-28 x 26-38",24,32,NA
"Teliospores narrowly ellipsoid to ellipsoid-turbinate, often rather distorted because of the prominent pores, 32-50 x 22-30 µm;","Aecidium nitens_145554_14026","Teliospores","32-50 x 22-30",41,26,NA
"Teliospores elliptical, slightly or not constricted, 39-64 x 19-29 µm;","Gymnosporangium fuscum_123857_13132","Teliospores","39-64 x 19-29",51.5,24,NA
"Teliospores ellipsoid-fusoid, 2-celled, slightly constricted, tapered or rounded, 42-56 x 22-32 µm;","Gymnosporangium fuscum_123857_14860","Teliospores","42-56 x 22-32",49,27,NA
"Teliospores (fully cleared) (20-)22-39(-41) µm.","Aecidium phacae-frigidae_322384_13001","Teliospores",") (20-)22-39(-41)",30.5,NA,NA
"Teliospores ellipsoid, barely or not constricted at septum, 30-53.5(-58.5) x 15-24.5 µm;","Gymnosporangium globosum_145661_13361","Teliospores","30-53.5(-58.5) x 15-24.5",53.5,19.75,NA
