"Species_names","spore_length","spore_width","SporeArea","spore_type","Phylum","Source"
"Cortinarius_orellanus",9.5,6.3,197.425536333217,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_oreobius",10.3,6,194.150425991849,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_papulosus",8.8,5,115.191730631626,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_percomis",11.8,6.5,261.040169574532,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_phoeniceus",7,6.8,169.478451685657,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_pluvius",6.5,4.8,78.4141526336012,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_porphyropus",8.8,5.5,139.381994064267,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_praestans",15.5,9,657.378262763664,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_purpurascens",8.5,5.5,134.630335175713,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_renidens",6.5,5.3,95.6012824426154,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_rubellus",9.8,7.5,288.633825048562,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_rubicundulus",8,4.3,77.4507308865004,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_rufoolivaceus",11.8,7,302.744812050936,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_saginus",9,5.5,142.549766656637,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_salor",8.6,7.3,239.962177264047,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_sanguineus",7.5,5.3,110.309172049172,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_saniosus",9.3,5.8,163.808924143479,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_scaurus",10,6.5,221.220482690281,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_scutulatus",10,5.7,170.117242191887,"Basidiospores","Basidiomycota","Bassler_etal_2015"
