Species,spore_type,phylum,class,order,guild,Life_style,simpleFunct,host.assoc,log10.sporeVolume,log10.sporeAspectRatio,n_samples_env,alt_mean,mat_mean,map_mean,seasonality_t_mean,seasonality_p_mean,maxsrad_mean,minvapr_mean,alt_sd,mat_sd,map_sd,seasonality_t_sd,seasonality_p_sd,maxsrad_sd,minvapr_sd,geo_extent_m,geo_extent_prop,geo_area_m,geo_area_prop
Ascochyta_boltshauseri,Mitospores,Ascomycota,Dothideomycetes,Pleosporales,Plant Pathogen,Plant,Plant-Pathogen,yes,2.3841103593855415,0.568201724066995,21,3294.8571428571427,0.7300892810211598,521.5761904761905,853.523414754706,91.33797040926318,21649,0.20376190319657328,1994.1287141434548,9.105447228288044,318.12425269815867,144.69199177855805,36.23833433619023,1689.7684740076081,0.21575087488745257,9742789.348555883,0.4871394674277942,11720008627096.848,0.0790152004847218
Ascochyta_paspali,Mitospores,Ascomycota,Dothideomycetes,Pleosporales,Plant Pathogen,Plant,Plant-Pathogen,yes,2.4301729226772517,0.49008623188403005,1,78,13.4775000651677,1063.6,242.925716077341,38.1011778245363,24067.2,1.00199999809265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ascocoryne_cylichnium,Meiospores,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA,NA,2.5807569925119576,0.5827548361325757,85,996.6823529411764,1.73853665513256,843.0193697479001,920.723106609082,32.69797413948771,20286.358627450973,0.24302353032663757,807.1817699898342,2.6287805738677754,277.9187196933299,264.4913793982364,10.739423192538956,1567.197821317078,0.07904192521910611,8280861.406663905,0.41404307033319526,3801167106313.224,0.02562711261891525
Ascocoryne_sarcoides,Meiospores,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA,NA,2.2015149089168586,0.5228787452803376,113,718.7433628318585,7.191955998058696,765.5559172636607,837.1128724978657,49.078499063352595,21903.456134990873,0.414978929264789,573.4623038234053,4.7506928575718606,312.2218851156989,294.8177414102249,32.600097464214926,2605.079714812574,0.298286015405962,16426864.950714396,0.8213432475357199,11304940087172.053,0.07621684726327178
Ascosphaera_apis,Meiospores,Ascomycota,Eurotiomycetes,Ascosphaerales,NA,NA,NA,NA,2.9854770068568777,0.1316207173872907,7,365.85714285714283,17.27526787959393,657.1071428571429,353.2869956116143,60.45275289606278,25850.45,0.8474285717521391,400.2172029333691,2.0988239307091017,497.74572778057023,103.49487569091544,38.73644876023461,1433.7744551823112,0.17653976474843966,17505575.104829576,0.8752787552414788,15872631202855.111,0.10701179296182131
Ascotricha_chartarum,Mitospores,Ascomycota,Sordariomycetes,Xylariales,NA,NA,NA,NA,1.8035749002448211,0.12493873660829993,13,197.15384615384616,16.043669891770552,442.9423076923077,638.9536697864493,76.909117361434,25822.44230769231,0.7157692278806984,288.42094415219054,2.103836085785602,186.89884613313544,314.3772859968299,35.58777265782186,2415.3792644605314,0.3129253538669296,19043968.337764632,0.9521984168882316,50895305840745.555,0.3431313851971033
Aspergillago_clavatoflava,Mitospores,Ascomycota,Eurotiomycetes,Eurotiales,NA,NA,NA,NA,1.2745404419441526,0,67,207.07462686567163,23.766601405696786,682.5111940298507,413.138910172346,97.77064745366334,25823.822139303487,0.9057089489342562,120.08397483892777,4.859939062781044,188.55110376824297,64.97145249703624,26.27941898376149,1284.467305769518,0.2072043397000605,2081924.6910701683,0.10409623455350842,938687768865.1583,0.006328545021541457
Aspergillus_aculeatus,Mitospores,Ascomycota,Eurotiomycetes,Eurotiales,Plant Pathogen,Plant,Plant-Pathogen,yes,1.5763311187417586,0,640,288.4140625,21.13771509260168,1114.7756510416668,500.47057612688695,86.40191458984101,23345.685794270834,1.195375507803983,522.0686181484746,7.422909648700552,633.0416045340133,384.50417329586884,31.607529585886745,2155.535722048815,0.8423102171605936,19201164.717553165,0.9600582358776583,20347426601949.65,0.13718044443961033
Aspergillus_allahabadii,Mitospores,Ascomycota,Eurotiomycetes,Eurotiales,NA,NA,NA,NA,1.1503623864694774,0,62,309.43548387096774,22.227821437883986,680.2760752688172,479.0707731340664,96.70311058376706,23228.245698924733,0.8855376327710769,324.55268692325797,4.957139597743394,395.11119771219853,289.5592974366978,25.768410007471626,2610.5236080396558,0.5329017423192142,15288682.02278435,0.7644341011392175,6665719162066.535,0.04493965428897519
Aspergillus_amylovorus,Mitospores,Ascomycota,Eurotiomycetes,Eurotiales,NA,NA,NA,NA,1.6786361636365212,0,5,452.6,16.30916665002394,584.05,480.5080019369162,58.37160311222096,25750,0.9285000026226062,456.7354814331814,4.0498153202237575,140.78012555044836,44.74199580870592,29.83095415436796,2708.905585056445,0.19693431766267258,16192761.608755264,0.8096380804377632,20811257901339.242,0.14030755161832206
